施設分類,合計,構成比(%)
合計,360,100
飲食店営業小計,144,40
飲食店営業／一般（和食店）,4,1.1
飲食店営業／一般（外国料理店）,7,1.9
飲食店営業／一般（中華料理店）,3,0.8
飲食店営業／一般（食堂）,6,1.7
飲食店営業／一般（焼肉店）,11,3.1
飲食店営業／一般（居酒屋）,38,10.6
飲食店営業／一般（その他）,29,8.1
飲食店営業／旅館・ホテル,8,2.2
飲食店営業／そば屋,1,0.3
飲食店営業／仕出し屋,1,0.3
飲食店営業／弁当屋,1,0.3
飲食店営業／給食,34,9.4
飲食店営業／その他,1,0.3
菓子製造業,2,0.6
食肉販売業,1,0.3
食料品等販売業,9,2.5
上記以外の販売業,1,0.3
臨時出店者,3,0.8
家庭,4,1.1
その他,20,5.6
不明,176,48.9
