食品分類,件数,構成比（％）
合計,5138,100.0
水産食品,243,4.7
水産加工食品,106,2.1
畜産食品,243,4.7
畜産加工品,128,2.5
農産食品,137,2.7
農産加工食品,244,4.7
菓子類,406,7.9
飲料,179,3.5
油脂,15,0.3
調理済み食品,1900,37.0
そう菜半製品,22,0.4
その他の食品,117,2.3
食品添加物,4,0.1
器具容器包装,34,0.7
おもちゃ,1,0.0
食品類以外,999,19.4
不明,360,7.0
