施設分類,合計,構成比 (%),鮮魚介類小計,魚類,貝類,カキ,エビ類,カニ類,その他の鮮魚介類
店舗等,132,54.3,132,95,5,25,4,3,
デパート・スーパー,89,36.6,89,67,6,7,2,5,2
自動車,1,0.4,1,1,,,,,
