要因分類,合計,構成比 (%),穀類加工品小計,米飯、おかゆ,もち,粉類,その他の穀類加工品,豆類の加工品小計,豆腐,豆腐加工品,納豆,あん類,その他の豆類の加工品,ナッツ及びナッツの加工品,種実類及び種実類加工品,コーヒー豆・ココア・茶小計,コーヒー豆,茶葉,でん粉,野菜加工品小計,乾燥野菜,塩蔵野菜,野菜の水煮,カット野菜,その他の野菜加工品,果実加工品小計,カットフルーツ,ジャム・マーマレード,乾燥果実,その他の果実加工品,きのこ加工品,つけ物小計,浅漬,その他,めん類小計,乾麺,即席麺,生麺,ゆで麺、むし麺,その他の農産物の加工品小計,こんにゃく,その他の農産物の加工品
店舗等,140,57.4,16,9,2,2,3,19,5,2,7,1,4,5,3,3,,3,,25,4,,2,10,9,12,,4,6,2,3,27,3,24,20,4,4,6,6,7,3,4
デパート・スーパー,50,20.5,4,2,,,2,5,2,,2,,1,2,1,0,,,,15,1,,4,4,6,5,,,2,3,,12,2,10,5,2,,1,2,1,1,
コンビニエンスストア,9,3.7,0,,,,,1,1,,,,,,,1,1,,,5,,,1,2,2,0,,,,,,1,,1,1,,,1,,0,,
移動,1,0.4,0,,,,,0,,,,,,,,0,,,,0,,,,,,1,,,1,,,0,,,0,,,,,0,,
