食品分類,合計,構成比(%),排気・排煙,排水,トイレの不備等,害虫・害獣,不衛生,その他
合計,639,100.0,111,42,27,152,184,123
水産食品,7,1.1,1,,,1,3,2
水産加工食品,1,0.2,,,,,,1
畜産食品,7,1.1,1,2,,,3,1
畜産加工品,5,0.8,,,,,2,3
農産食品,2,0.3,,,,,1,1
農産加工食品,8,1.3,2,,,2,,4
菓子類,13,2.0,,,,5,3,5
飲料,6,0.9,,,1,,1,4
油脂,1,0.2,1,,,,,
調理済み食品,84,13.1,14,1,2,22,22,23
そう菜半製品,1,0.2,1,,,,,
その他の食品,5,0.8,1,,,2,,2
器具容器包装,1,0.2,,,,,1,
食品類以外,471,73.7,90,39,24,114,138,66
不明,27,4.2,,,,6,10,11
