施設分類,合計,構成比 (%),パン類小計,菓子パン,その他のパン,生菓子小計,洋生菓子,和生菓子,その他の生菓子,その他の菓子類小計,焼菓子,油菓子,キャンディーチューインガム,チョコレート,中華まんじゅう等,その他の菓子類,氷菓,製菓材料
店舗等,257,63.3,60,27,33,86,55,25,6,104,49,12,3,5,2,33,3,4
デパート・スーパー,81,20,34,13,21,18,11,7,,28,9,3,2,1,3,10,1,
コンビニエンスストア,29,7.1,11,5,6,3,3,,,15,2,2,2,,1,8,,
自動車,2,0.5,1,1,,0,,,,1,,,,,,1,,
移動,1,0.2,0,,,1,1,,,0,,,,,,,,
