施設分類,合計,構成比 (%),煮物・鍋物,焼物,揚げ物,酢の物,和え物,蒸し物,炒め物,サラダ,めん物,飯物,汁物,すし,その他,複合調理食品,弁当,調理パン等
店舗等,1531,80.6,55,206,102,3,4,10,26,55,167,111,31,113,68,377,142,61
デパート・スーパー,196,10.3,12,22,29,,1,2,4,14,6,14,1,26,14,13,31,7
コンビニエンスストア,47,2.5,5,,3,1,,,,4,4,7,2,3,1,2,9,6
自動販売機,1,0.1,,,,,,,,,,,,1,,,,
自動車,15,0.8,,1,2,,,,,,2,1,,,1,,7,1
移動,5,0.3,1,2,,,,,,,1,,,,,,1,
