施設分類,合計,構成比 (%),魚介乾製品,魚介類塩蔵品小計,塩辛,その他の魚介類塩蔵品,魚肉ねり製品小計,かまぼこ,魚肉ハム・ソーセージ,揚げ製品,その他の魚介ねり製品,海草類小計,海藻類,海藻類加工品,魚卵類,その他の魚介類加工品小計,魚介類水煮及びボイル,魚介類油煮,魚介類漬物,その他の魚介類加工品
店舗等,43,40.6,,0,,,7,1,3,1,2,7,3,4,2,27,10,1,3,13
デパート・スーパー,39,36.8,,4,,4,5,2,,3,,9,4,5,2,19,7,,2,10
コンビニエンスストア,2,1.9,,0,,,1,,1,,,0,,,,1,1,,,
