食品分類,合計,構成比(%),虫小計,虫ハエ,虫ゴキブリ,虫虫卵・幼虫・蛹,虫その他の虫,虫不明,寄生虫小計,寄生虫アニサキス,寄生虫その他,鉱物性異物小計,鉱物性異物ガラス,鉱物性異物石・砂,鉱物性異物金属,鉱物性異物その他,動物性異物小計,動物性異物人毛（毛髪等）,動物性異物獣毛,動物性異物人の歯（歯科治療材を含む）,動物性異物その他,合成樹脂類小計,合成樹脂類ビニール類,合成樹脂類ゴム,合成樹脂類その他の合成樹脂類,植物性異物,紙,繊維,たばこ,絆創膏,食品の一部,その他,不明
合計,1118,100.0,273,45,74,33,79,42,13,9,4,149,26,15,95,13,166,110,2,12,42,189,98,13,78,55,30,26,5,4,83,55,70
水産食品,27,2.4,6,,,2,2,2,9,6,3,1,,,1,,3,2,,,1,1,,,1,,2,1,1,,2,1,
水産加工食品,33,3.0,7,1,,1,4,1,1,1,,4,2,,2,,9,5,,,4,2,1,,1,,,2,,,3,1,4
畜産食品,36,3.2,5,1,2,,1,1,0,,,6,,1,5,,3,,,,3,8,5,1,2,,4,,,2,4,2,2
畜産加工品,43,3.8,1,1,,,,,0,,,4,1,1,1,1,9,5,,,4,7,2,,5,3,1,5,,,4,3,6
農産食品,16,1.4,13,,,6,7,,0,,,0,,,,,0,,,,,2,2,,,,,,,,,,1
農産加工食品,102,9.1,32,1,3,8,15,5,0,,,13,3,2,8,,11,9,,1,1,17,6,1,10,6,1,3,1,,8,4,6
菓子類,158,14.1,29,4,7,2,11,5,0,,,29,4,2,20,3,27,15,1,2,9,20,8,1,11,14,7,8,,,10,5,9
飲料,71,6.4,33,9,11,2,6,5,0,,,3,,,2,1,3,,,1,2,8,1,1,6,4,1,1,,,2,7,9
油脂,2,0.2,1,,,,,1,0,,,0,,,,,0,,,,,0,,,,,,,,,1,,
調理済み食品,574,51.3,128,27,46,10,24,21,3,2,1,86,16,8,55,7,93,70,1,7,15,114,68,8,38,28,13,6,3,2,42,27,29
そう菜半製品,10,0.9,0,,,,,,0,,,2,,1,,1,4,2,,,2,1,1,,,,,,,,2,,1
その他の食品,20,1.8,9,,,2,6,1,0,,,0,,,,,2,1,,,1,4,2,1,1,,,,,,3,1,1
器具容器包装,5,0.4,1,,,,1,,0,,,1,,,1,,0,,,,,1,,,1,,1,,,,,1,
食品類以外,16,1.4,5,,3,,2,,0,,,0,,,,,1,1,,,,4,2,,2,,,,,,2,2,2
不明,5,0.4,3,1,2,,,,0,,,0,,,,,1,,,1,,0,,,,,,,,,,1,
