食品分類,合計,構成比(%)
合計,70,100.0
水産食品,2,2.9
水産加工食品,4,5.7
畜産食品,8,11.4
畜産加工品,2,2.9
農産食品,17,24.3
農産加工食品,5,7.1
菓子類,4,5.7
飲料,2,2.9
調理済み食品,25,35.7
食品類以外,1,1.4
