施設分類,合計,構成比 (%),生鮮野菜,生鮮果実,穀類小計,米,その他の穀類,豆類,きのこ類,その他の農産物
店舗等,40,29.2,17,17,5,5,,1,,1
デパート・スーパー,61,44.5,23,23,11,11,,,3,
コンビニエンスストア,7,5.1,3,3,0,,,,1,
移動,1,0.7,1,,0,,,,,
