施設分類1,施設分類2,件数,構成比（％）
合計,,5138,100.0
飲食店営業,小計,3091,60.2
飲食店営業,一般（和食店）,220,4.3
飲食店営業,一般（外国料理店）,244,4.7
飲食店営業,一般（中華料理店）,270,5.3
飲食店営業,一般（食堂）,178,3.5
飲食店営業,一般（焼肉店）,111,2.2
飲食店営業,一般（居酒屋）,506,9.8
飲食店営業,一般（その他）,661,12.9
飲食店営業,旅館・ホテル,31,0.6
飲食店営業,すし屋,150,2.9
飲食店営業,そば屋,100,1.9
飲食店営業,仕出し屋,54,1.1
飲食店営業,弁当屋,198,3.9
飲食店営業,そうざい店,185,3.6
飲食店営業,給食,117,2.3
飲食店営業,天ぷら船、屋形船,1,0.0
飲食店営業,その他,65,1.3
喫茶店営業,,14,0.3
菓子製造業,,241,4.7
あん類製造業,,2,0.0
アイスクリーム類製造業,,3,0.1
乳処理業,,2,0.0
乳製品製造業,,7,0.1
食肉処理業,,20,0.4
食肉製品製造業,,9,0.2
魚肉ねり製品製造業,,4,0.1
清涼飲料水製造業,,12,0.2
酒類製造業,,5,0.1
豆腐製造業,,11,0.2
めん類製造業,,14,0.3
そうざい製造業,,56,1.1
食品衛生法において許可を要するその他の製造業,,19,0.4
条例で定める許可を要する製造業,,22,0.4
許可を要しない製造業,,19,0.4
乳類販売業,,18,0.4
食肉販売業,,96,1.9
魚介類販売業,,169,3.3
食料品等販売業,,463,9.0
弁当等人力販売業,,1,0.0
行商（弁当類販売業）,,24,0.5
行商（弁当類以外）,,1,0.0
上記以外の販売業,,187,3.6
臨時営業,,10,0.2
臨時出店者,,22,0.4
家庭,,56,1.1
その他,,187,3.6
不明,,353,6.9
