施設分類1,施設分類2,合計,構成比(%)
合計,,29,100.0
飲食店営業,小計,8,27.6
飲食店営業,一般（外国料理店）,1,3.4
飲食店営業,一般（中華料理店）,1,3.4
飲食店営業,一般（食堂）,1,3.4
飲食店営業,一般（その他）,3,10.3
飲食店営業,弁当屋,1,3.4
飲食店営業,そうざい店,1,3.4
菓子製造業,,4,13.8
酒類製造業,,1,3.4
乳類販売業,,2,6.9
食肉販売業,,1,3.4
魚介類販売業,,3,10.3
食料品等販売業,,3,10.3
上記以外の販売業,,3,10.3
臨時出店者,,1,3.4
その他,,1,3.4
不明,,2,6.9
