食品分類,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
合計,4478,4544,4851,5265,5138
水産食品とその加工品,343,333,317,390,349
畜産食品とその加工品,341,348,369,386,371
農産食品とその加工品,370,356,402,435,381
その他の動物性食品,2,3,7,-,-
そう菜・そう菜半製品,336,345,385,-,-
そう菜半製品,-,-,-,17,22
パン類・菓子類,293,296,399,436,406
飲料,162,162,155,198,179
油脂,8,5,3,8,15
複合調理食品,1145,1269,1295,-,-
調理済み食品,-,-,-,1773,1900
その他の食料品,76,75,124,108,117
食品添加物,2,6,2,4,4
器具容器包装おもちゃ,27,33,28,34,35
食品類以外,1094,984,1045,1103,999
不明,279,329,320,373,360
