施設分類,合計,構成比 (%)
合計,22,100
飲食店営業小計,6,27.3
一般（中華料理店）,1,4.5
一般（その他）,2,9.1
弁当屋,2,9.1
そうざい店,1,4.5
そうざい製造業,5,22.7
許可を要しない製造業,1,4.5
食料品等販売業,6,27.3
上記以外の販売業,1,4.5
不明,3,13.6
