"科目","金額[百万円]"
"年度","2021"
"期間（自）","20210401"
"期間（至）","20220331"
"業務活動収支 業務支出","213727"
"業務活動収支 業務支出 業務費用支出","95456"
"業務活動収支 業務支出 業務費用支出 人件費支出","22779"
"業務活動収支 業務支出 業務費用支出 物件費等支出","61122"
"業務活動収支 業務支出 業務費用支出 支払利息支出","15"
"業務活動収支 業務支出 業務費用支出 その他の支出","11540"
"業務活動収支 業務支出 移転費用支出","118270"
"業務活動収支 業務支出 移転費用支出 補助金等支出","90525"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","26285"
"業務活動収支 業務支出 移転費用支出 その他の支出","1461"
"業務活動収支 業務収入","235002"
"業務活動収支 業務収入 税収等収入","143896"
"業務活動収支 業務収入 国都等補助金収入","68914"
"業務活動収支 業務収入 使用料及び手数料収入","9158"
"業務活動収支 業務収入 その他の収入","13034"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","4"
"業務活動収支","21279"
"投資活動収支 投資活動支出","52525"
"投資活動収支 投資活動支出 公共施設等整備費支出","26634"
"投資活動収支 投資活動支出 基金積立金支出","22831"
"投資活動収支 投資活動支出 投資及び出資金支出","2585"
"投資活動収支 投資活動支出 貸付金支出","476"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","30522"
"投資活動収支 投資活動収入 国都等補助金収入","4993"
"投資活動収支 投資活動収入 基金取崩収入","20557"
"投資活動収支 投資活動収入 貸付金元金回収収入","520"
"投資活動収支 投資活動収入 資産売却収入","2154"
"投資活動収支 投資活動収入 その他の収入","2299"
"投資活動収支","-22003"
"財務活動収支 財務活動支出","822"
"財務活動収支 財務活動支出 地方債等償還支出","323"
"財務活動収支 財務活動支出 その他の支出","500"
"財務活動収支 財務活動収入","497"
"財務活動収支 財務活動収入 地方債等発行収入","496"
"財務活動収支 財務活動収入 その他の収入","1"
"財務活動収支","-325"
"本年度資金収支額","-1049"
"前年度末資金残高","18193"
"比例連結割合変更に伴う差額","38"
"本年度末資金残高","17182"
"前年度末歳計外現金残高","7751"
"本年度歳計外現金増減額","-86"
"本年度末歳計外現金残高","7664"
"本年度末現金預金残高","24846"

"連結会計財務書類（資金収支計算書）(令和3年4月1日から令和4年3月31日)","Ver202203"
