全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
132152,202204,東京都国立市,2022,04,942,2187,946,18,12,28,59,548,339,
132152,202205,東京都国立市,2022,05,935,1852,975,30,9,35,54,297,273,
132152,202206,東京都国立市,2022,06,1136,1993,1073,16,10,28,47,272,276,
132152,202207,東京都国立市,2022,07,953,1995,1113,26,5,37,62,279,289,
132152,202208,東京都国立市,2022,08,1008,1928,1135,21,7,46,72,312,278,
132152,202209,東京都国立市,2022,09,1080,1951,1074,16,13,52,61,241,273,
132152,202210,東京都国立市,2022,10,947,1906,1037,28,6,37,54,258,278,
132152,202211,東京都国立市,2022,11,984,1937,1081,32,6,37,64,239,293,
132152,202212,東京都国立市,2022,12,952,1700,868,31,11,33,60,230,264,
132152,202301,東京都国立市,2023,01,1092,1893,931,18,5,31,62,234,265,
132152,202302,東京都国立市,2023,02,1037,2110,1042,20,8,20,66,277,293,
132152,202303,東京都国立市,2023,03,1132,2666,1094,34,11,38,67,708,663,
