市区町村コード,地域コード,都道府県名,市区町村名,調査年月日入力,町丁,世帯数,男,女,合計,０～６歳,７～１２歳,１３～６９歳,７０歳以上
132152,0,東京都,国立市,2021-02-01T00:00:00,東１丁目,1770,1473,1779,3252,183,117,2453,499
132152,0,東京都,国立市,2021-02-01T00:00:00,東２丁目,1546,1415,1498,2913,145,105,2123,540
132152,0,東京都,国立市,2021-02-01T00:00:00,東３丁目,1579,1485,1569,3054,144,161,2126,623
132152,0,東京都,国立市,2021-02-01T00:00:00,東４丁目,1495,1592,1653,3245,153,190,2358,544
132152,0,東京都,国立市,2021-02-01T00:00:00,中１丁目,2209,1881,2155,4036,174,141,3031,690
132152,0,東京都,国立市,2021-02-01T00:00:00,中２丁目,1357,1264,1379,2643,110,123,1946,464
132152,0,東京都,国立市,2021-02-01T00:00:00,中３丁目,1029,1094,1205,2299,139,104,1628,428
132152,0,東京都,国立市,2021-02-01T00:00:00,西１丁目,1918,1833,1851,3684,181,194,2734,575
132152,0,東京都,国立市,2021-02-01T00:00:00,西２丁目,2690,2524,2476,5000,284,216,3742,758
132152,0,東京都,国立市,2021-02-01T00:00:00,西３丁目,663,671,713,1384,79,61,968,276
132152,0,東京都,国立市,2021-02-01T00:00:00,富士見台１丁目,2715,2451,2652,5103,201,213,3436,1253
132152,0,東京都,国立市,2021-02-01T00:00:00,富士見台２丁目,2299,2288,2358,4646,379,216,3423,628
132152,0,東京都,国立市,2021-02-01T00:00:00,富士見台３丁目,1973,1913,1965,3878,227,156,2706,789
132152,0,東京都,国立市,2021-02-01T00:00:00,富士見台４丁目,2079,1863,2201,4064,135,116,2881,932
132152,0,東京都,国立市,2021-02-01T00:00:00,北１丁目,968,852,983,1835,78,67,1402,288
132152,0,東京都,国立市,2021-02-01T00:00:00,北２丁目,1241,1130,1144,2274,102,102,1642,428
132152,0,東京都,国立市,2021-02-01T00:00:00,北３丁目,1876,1800,2193,3993,221,262,2575,935
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保００００,298,366,349,715,52,42,506,115
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保１０００,173,236,219,455,47,23,326,59
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保４０００,718,773,732,1505,85,59,1138,223
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保５０００,1110,1163,1186,2349,110,99,1681,459
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保６０００,1307,1282,1314,2596,158,115,1923,400
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保７０００,725,857,822,1679,106,99,1228,246
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保８０００,4,4,4,8,0,1,7,0
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保６丁目,258,226,242,468,12,24,315,117
132152,0,東京都,国立市,2021-02-01T00:00:00,谷保７丁目,327,384,329,713,33,62,489,129
132152,0,東京都,国立市,2021-02-01T00:00:00,青柳,10,10,14,24,0,2,18,4
132152,0,東京都,国立市,2021-02-01T00:00:00,青柳１丁目,903,970,962,1932,87,125,1433,287
132152,0,東京都,国立市,2021-02-01T00:00:00,青柳２丁目,780,786,637,1423,50,52,1089,232
132152,0,東京都,国立市,2021-02-01T00:00:00,青柳３丁目,778,639,726,1365,60,66,978,261
132152,0,東京都,国立市,2021-02-01T00:00:00,石田,40,49,50,99,3,8,75,13
132152,0,東京都,国立市,2021-02-01T00:00:00,泉１丁目,100,88,80,168,5,6,138,19
132152,0,東京都,国立市,2021-02-01T00:00:00,泉２丁目,517,545,562,1107,28,43,737,299
132152,0,東京都,国立市,2021-02-01T00:00:00,泉３丁目,527,561,564,1125,50,72,787,216
132152,0,東京都,国立市,2021-02-01T00:00:00,泉４丁目,83,106,84,190,5,19,142,24
132152,0,東京都,国立市,2021-02-01T00:00:00,泉５丁目,92,107,97,204,12,15,144,33
132152,0,東京都,国立市,2021-02-01T00:00:00,矢川３丁目,463,476,419,895,38,58,686,113
