"全国地方公共団体コード","ID","地方公共団体名","地区名","ゴミの品目","ゴミの品目_カナ","ゴミの品目_英字","分別区分","注意点","備考","粗大ごみ回収料金"
"132152","132152GMLT000001","国立市","全域","アンプ","アンプ","Amplifier","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000002","国立市","全域","LED照明器具","エルイーディーショウメイキグ","LED Lighting Fixtures","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000003","国立市","全域","オーディオ機器（本体）","オーディオキキ","Audio equipment (main unit)","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000004","国立市","全域","オーブンレンジ","オーブンレンジ","Microwave toaster oven combo","粗大ごみ","","50cm以上のものは粗大ごみへ","1000"
"132152","132152GMLT000005","国立市","全域","折り紙","オリガミ","Origami (paper folding)","可燃ごみ","","雑がみ。金・銀色の折り紙は可燃ごみへ。",""
"132152","132152GMLT000006","国立市","全域","温度計（デジタル以外）","オンドケイ","Thermometers (non-digital)","小型家電製品","","デジタルのものは小型家電製品へ",""
"132152","132152GMLT000007","国立市","全域","加湿器","カシツキ","Humidifier","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000008","国立市","全域","ガステーブル","ガステーブル","Gas cooktop","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000009","国立市","全域","カセットコンロ","カセットコンロ","Cassette stove","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000010","国立市","全域","ガラス板","ガラスイタ","Glass plate","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000011","国立市","全域","乾燥機（食器用）","カンソウキ","Dryer (for tableware)","小型家電製品","","50㎝未満のものは小型家電製品へ","500"
"132152","132152GMLT000012","国立市","全域","空気清浄機","クウキセイジョウキ","Air cleaner","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000013","国立市","全域","クッション","クッション","Cushion","粗大ごみ","","50cm以上でも可燃ごみへ（大きいものは粗大ごみ）","200"
"132152","132152GMLT000014","国立市","全域","蛍光管・蛍光灯","ケイコウカン・ケイコウトウ","Fluorescent Tubes/Fluorescent Lamps","粗大ごみ","","1m以上のものは粗大ごみへ","200"
"132152","132152GMLT000015","国立市","全域","血圧計（デジタル以外）","ケツアツケイ","Sphygmomanometer (non-digital)","小型家電製品","","デジタルのものは小型家電製品へ",""
"132152","132152GMLT000016","国立市","全域","玄関マット","ゲンカンマット","Entrance mat","可燃ごみ","","50cm未満に切った場合は可燃ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000017","国立市","全域","碁盤","ゴバン","Go board","市では収集できないもの","","厚さ8㎝以上のものは市では収集できないもの",""
"132152","132152GMLT000018","国立市","全域","座布団","ザブトン","Japanese cushion","粗大ごみ","","50cm以上でも可燃ごみへ（長座布団は粗大ごみ）","200"
"132152","132152GMLT000019","国立市","全域","サンドバッグ","サンドバッグ","Sandbag","市では収集できないもの","","中身が砂のものは市では収集できないもの。粗大料金は重さによる。",""
"132152","132152GMLT000020","国立市","全域","ジェルマット","ジェルマット","Jelmat","粗大ごみ","","50cm以上のものは粗大ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000021","国立市","全域","将棋盤","ショウギバン","Shogi board","市では収集できないもの","","厚さが8cm以上のものは市では収集できないもの",""
"132152","132152GMLT000022","国立市","全域","浄水器","ジョウスイキ","Water filter","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000023","国立市","全域","除湿器","ジョシツキ","Dehumidifier","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000024","国立市","全域","人工芝マット","ジンコウシバマット","Artificial turf mat","粗大ごみ","","50cm以上のものは粗大ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000025","国立市","全域","炊飯器","スイハンキ","Rice cooker","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000026","国立市","全域","ステレオ（本体）","ステレオ","Stereo (main unit)","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000027","国立市","全域","ストーブ（電気・ガス）","ストーブ","Stove (electric/gas)","粗大ごみ","","50cm以上の場合は粗大ごみへ。粗大料金は方式による。",""
"132152","132152GMLT000028","国立市","全域","スピーカー","スピーカー","Speaker","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000029","国立市","全域","扇風機","センプウキ","Electric fan","小型家電製品","","50cm未満のものは小型家電製品へ","500"
"132152","132152GMLT000030","国立市","全域","掃除機","ソウジキ","Cleaner (usu. vacuum cleaner)","小型家電製品","","50cm未満のものは小型家電製品へ","500"
"132152","132152GMLT000031","国立市","全域","体温計（デジタル以外）","タイオンケイ","Thermometers (non-digital)","小型家電製品","","デジタルのものは小型家電製品へ",""
"132152","132152GMLT000032","国立市","全域","体重計（デジタル）","タイジュウケイ","Body scale (digital)","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000033","国立市","全域","体重計（デジタル以外）","タイジュウケイ","Body scale(non-digital)","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000034","国立市","全域","卓上コンロ（電気式）","タクジョウコンロ","Tabletop stove (electric)","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000035","国立市","全域","ダンベル","ダンベル","Dumbbell","市では収集できないもの","","10㎏につき500円（10㎏未満の端数は切り上げ） コンクリートが使われているものは市では収集できないもの",""
"132152","132152GMLT000036","国立市","全域","つぼ（金属）","ツボ","Pot (metal)","粗大ごみ","","50cm以上のものは粗大ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000037","国立市","全域","つぼ（ガラス、陶磁器）","ツボ","Pot (glass, ceramic)","粗大ごみ","","割れていなくても危険物へ 50cm以上のものは粗大ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000038","国立市","全域","DVDプレーヤー","ディーブイディープレーヤー","DVD player","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000039","国立市","全域","テーブルクロス（ビニール）","テーブルクロス","Tablecloth (vinyl)","不燃ごみ","","50㎝未満に切った場合は不燃ごみへ","200"
"132152","132152GMLT000040","国立市","全域","鉄アレイ","テツアレイ","Iron array","市では収集できないもの","","10㎏につき500円（10㎏未満の端数は切り上げ） 。コンクリートが使われているものは市では収集できないもの。",""
"132152","132152GMLT000041","国立市","全域","電気ポット","デンキポット","Hot water dispenser","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000042","国立市","全域","電子レンジ","デンシレンジ","Microwave oven","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000043","国立市","全域","陶磁器","トウジキ","Ceramics","粗大ごみ","","割れていなくても危険物へ 。50cm以上のものは粗大ごみへ。粗大料金はサイズによる。",""
"132152","132152GMLT000044","国立市","全域","人形ケース（ガラス）","ニンギョウケース","Doll case (glass)","粗大ごみ","","プラスチック製のものは不燃ごみへ 。50cm以上のものは粗大ごみへ。","200"
"132152","132152GMLT000045","国立市","全域","ぬいぐるみ","ヌイグルミ","Stuffed toy","粗大ごみ","","50cm以上のものは粗大ごみへ","500"
"132152","132152GMLT000046","国立市","全域","粘土（教材用等で少量）","ネンド","Clay (small amount for teaching materials, etc.)","市では収集できないもの","","多量・陶芸用等は市では収集できないもの",""
"132152","132152GMLT000047","国立市","全域","バケツ","バケツ","Bucket","粗大ごみ","","50cm以上のものは粗大ごみへ","200"
"132152","132152GMLT000048","国立市","全域","バスマット","バスマット","Bath mat","可燃ごみ","","50㎝未満に切った場合は可燃ごみへ。粗大料金はサイズによる。",""
