西暦（年）,台場（人）,青海（人）,有明南（人）,有明北（人）,合計（人）
1998,11000,5000,6000,***,22000
1999,11000,7500,6500,***,25000
2000,15000,7000,7000,***,29000
2001,18000,9000,7000,***,34000
2002,16000,10000,7000,5000,38000
2003,19000,8000,7000,5000,39000
2004,17000,8000,7000,4000,36000
2005,17000,9000,8000,4000,38000
2006,18000,8000,9000,4000,39000
2007,17000,9000,11000,4000,41000
2008,18000,12000,12000,3000,45000
2009,22000,12000,11000,3000,48000
2010,22000,11000,11000,3000,47000
2011,21000,12000,11000,4000,48000
2012,19000,13000,16000,4000,52000
2013,19000,15000,18000,3000,55000
2014,19000,15000,18000,3000,55000
2015,20000,16000,19000,4000,59000
2016,21000,14000,17000,5000,57000
2017,20000,13000,17000,6000,56000
2018,20000,13000,16000,6000,55000
2019,20000,13000,18000,6000,57000
2020,21000,13000,15000,7000,56000
2021,16000,12000,17000,7000,52000
2022,17000,10000,15000,8000,50000
2023,17000,11000,18000,7000,53000
