西暦（年）,人数（万人）
1998,2510
1999,3150
2000,3670
2001,3750
2002,3780
2003,4180
2004,4090
2005,4160
2006,4280
2007,4500
2008,4760
2009,4850
2010,4800
2011,4450
2012,5180
2013,5390
2014,5540
2015,5680
2016,5660
2017,5590
2018,5570
2019,5580
2020,3110
2021,3200
2022,3850
2023,4770
