西暦（年）,台場（人）,青海（人）,有明南（人）,有明北（人）,合計（人）
1998,3150,0,0,***,3150
1999,3140,0,0,***,3140
2000,3930,0,0,***,3930
2001,4710,920,0,***,5630
2002,4730,940,0,260,5930
2003,4740,800,0,220,5760
2004,4710,920,0,590,6220
2005,4700,860,70,620,6250
2006,5380,940,70,1270,7660
2007,5580,950,70,1310,7910
2008,5620,990,60,1430,8100
2009,5570,1010,90,3350,10020
2010,5450,1050,100,4430,11030
2011,5320,810,160,6290,12580
2012,5400,640,160,6910,13110
2013,5540,950,40,7480,14010
2014,5440,1040,80,7670,14230
2015,5520,1000,50,8840,15410
2016,5500,1060,40,9010,15610
2017,5530,1020,30,9050,15630
2018,5600,1010,40,9270,15920
2019,5650,1020,10,9430,16110
2020,5560,930,0,11630,18120
2021,5520,840,0,12390,18750
2022,5550,990,0,13210,19750
2023,5530,970,0,13580,20080
