町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329488,572843,275440,297403,1844,1744,1921,1845,1938,1900,2005,1939,1978,1984,2115,2028,2107,2015,2094,2073,2129,2083,2129,1997,2097,1931,2010,1979,1997,1954,2089,1921,2020,1886,1963,1893,2001,1903,1870,1806,1911,1854,2369,2378,2448,2369,2745,2866,2994,3368,3971,4116,4147,4375,4639,4838,4731,5007,4723,5020,4527,4989,4809,4954,4388,4581,4311,4541,4231,4248,4020,4223,3977,4033,4172,4263,4192,4136,4123,4235,4445,4157,4384,4439,4335,4391,4383,4255,4257,4176,4305,4383,4482,4452,4502,4487,4469,4415,4421,4605,4405,4540,4586,4931,4658,4819,4490,4787,4374,4761,4443,4694,4349,4450,4253,4333,4384,4299,3207,3314,4177,4128,3886,3765,3546,3553,3188,3349,3107,3098,2985,3096,2823,2877,2769,2864,2492,2622,2444,2628,2509,2550,2391,2542,2276,2510,2426,2598,2237,2629,2478,2910,2762,3373,2809,3341,2932,3442,1840,2321,1571,2133,1808,2483,1887,2555,1651,2568,1620,2434,1414,2197,1140,1887,978,1843,1107,1919,954,1838,897,1912,716,1525,639,1476,548,1284,421,1073,328,933,278,778,185,700,134,506,90,355,62,295,25,201,17,129,13,72,7,63,3,31,2,26,1,14,0,7,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5065,8104,4160,3944,26,31,26,30,28,30,31,21,24,30,24,29,35,33,30,27,34,27,24,20,23,26,26,22,23,31,24,27,21,13,23,30,20,24,23,26,17,18,34,28,43,38,38,37,44,54,73,62,87,69,110,76,121,72,105,80,96,83,109,74,94,74,76,71,82,63,68,74,69,71,83,74,97,59,79,76,78,62,68,66,82,73,70,55,64,60,57,62,67,58,63,72,60,56,70,54,64,68,66,64,64,55,61,60,66,57,67,46,55,60,65,52,65,45,45,27,42,51,43,47,37,41,41,24,37,34,34,32,22,27,25,25,29,39,22,33,27,25,38,27,24,46,36,38,36,21,30,36,41,45,31,35,36,40,26,24,18,22,25,35,22,23,23,29,19,27,18,24,13,23,12,20,11,15,9,19,13,30,5,17,7,11,5,13,3,17,3,11,4,4,4,13,0,9,0,3,0,1,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3184,5281,2524,2757,26,22,20,21,26,25,33,24,25,31,25,28,18,20,15,21,16,16,20,12,14,16,16,15,16,7,14,13,10,14,18,6,17,18,21,18,4,13,14,13,10,9,17,22,18,21,41,25,30,37,35,39,44,43,44,44,41,50,44,50,42,47,38,63,47,49,51,40,48,50,46,47,50,45,54,38,49,52,51,47,46,51,46,38,54,44,36,42,37,59,49,39,41,46,39,41,45,42,46,51,40,46,39,51,47,48,42,43,33,38,34,38,24,32,26,27,31,33,28,29,28,28,22,30,27,28,19,34,26,17,19,23,26,27,24,26,19,20,29,35,21,27,18,27,24,29,24,25,28,36,20,31,30,25,22,21,19,11,15,18,13,26,11,26,6,11,14,21,5,16,9,23,14,13,7,14,5,23,9,7,4,12,3,12,2,3,3,9,4,3,2,3,1,4,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3972,5819,2933,2886,12,18,15,11,20,13,13,19,9,10,16,10,11,7,13,18,21,12,10,23,15,15,16,10,14,14,11,13,11,7,9,16,13,11,6,5,13,14,21,24,27,26,43,31,38,47,44,53,65,64,83,83,87,82,81,89,64,82,84,66,84,67,58,64,49,71,62,52,59,49,65,57,55,47,62,34,51,52,53,43,58,42,54,50,41,40,49,46,50,52,55,40,35,34,50,39,64,37,45,41,52,37,43,36,31,40,42,27,40,39,39,31,35,27,16,26,31,36,33,30,28,29,35,30,27,27,23,27,33,21,17,19,21,15,27,25,31,29,17,26,24,16,17,25,21,27,22,23,27,27,26,26,19,31,15,19,20,13,15,22,18,19,15,20,13,17,7,15,5,19,8,9,8,17,9,19,5,16,9,14,5,21,5,9,4,8,3,4,3,2,1,8,1,3,1,2,2,3,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4311,7404,3739,3665,30,17,41,26,23,21,37,33,28,30,29,22,27,28,26,32,22,27,34,39,32,18,20,34,31,29,22,24,27,26,28,26,23,31,28,22,22,21,42,32,41,46,44,52,63,55,77,58,100,69,79,66,98,63,72,61,80,63,71,68,50,62,61,53,60,48,52,47,59,58,70,46,61,51,64,60,61,49,54,62,58,52,54,56,59,51,55,65,72,53,63,57,66,51,61,53,53,48,50,60,55,52,52,64,53,60,61,45,44,62,58,50,60,51,36,32,49,43,45,37,48,32,33,39,40,38,36,36,36,25,29,29,28,30,20,32,30,28,20,28,24,15,23,38,16,20,27,31,32,47,33,49,36,44,22,38,19,20,25,25,24,28,27,32,20,34,19,23,7,20,9,21,13,26,4,11,9,13,11,16,6,12,3,15,3,11,3,8,5,8,1,10,2,7,2,4,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3768,6509,3089,3420,25,20,26,16,18,16,19,21,10,25,25,21,24,16,25,24,24,24,22,19,18,19,33,14,21,26,19,16,17,23,26,14,20,12,22,18,20,20,23,30,30,27,30,36,41,37,46,46,51,58,41,60,56,58,72,65,59,78,56,68,58,68,56,61,59,56,37,54,40,56,46,57,52,56,45,54,53,48,55,51,43,51,42,50,58,44,52,55,34,50,42,54,52,50,40,45,55,43,52,59,54,48,47,67,45,51,45,52,53,42,46,53,57,61,26,40,38,48,52,40,45,43,39,42,35,41,31,39,27,24,32,33,27,34,25,29,27,31,27,23,30,41,30,21,25,31,25,33,26,30,33,26,43,36,17,36,15,27,20,27,19,34,16,25,15,25,11,12,18,15,9,15,17,15,7,15,5,17,12,16,5,9,5,19,7,13,4,10,5,9,0,6,0,9,1,5,1,3,0,4,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4844,8585,4135,4450,20,27,23,28,31,25,34,33,29,38,35,30,49,29,34,35,31,36,36,38,41,35,33,37,31,34,33,30,28,30,31,22,29,24,24,29,33,30,28,31,34,28,37,41,36,47,58,46,51,51,74,73,83,61,70,68,74,71,69,67,82,77,56,64,65,53,59,64,59,49,71,73,63,73,58,70,65,65,71,75,67,74,69,74,83,64,69,68,74,73,79,72,65,80,76,81,68,68,63,72,79,72,77,69,65,59,64,62,46,61,71,74,55,48,42,39,48,54,44,53,49,45,36,50,41,48,33,50,45,47,49,46,33,39,29,43,30,40,30,37,34,49,43,30,37,46,42,34,41,59,47,40,42,52,19,36,22,31,31,47,31,44,28,43,22,45,21,34,22,29,15,23,8,22,18,34,15,29,8,14,15,20,4,30,5,12,3,11,2,8,4,7,1,3,5,6,1,5,1,3,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3349,4588,2170,2418,17,13,14,9,8,14,11,8,10,6,11,11,12,9,6,9,10,12,8,6,9,9,4,9,9,6,3,6,6,5,5,8,6,11,3,8,11,13,19,29,22,29,22,32,32,44,47,72,60,53,62,75,67,87,57,84,63,71,79,62,56,58,44,65,45,64,42,44,39,35,39,37,38,34,45,39,46,39,37,29,29,23,24,37,40,32,33,31,45,39,36,37,36,20,25,31,36,31,52,45,35,25,32,27,22,25,25,22,34,28,26,39,27,13,26,24,25,32,24,21,11,27,16,18,14,25,26,23,19,22,18,21,14,17,13,25,14,20,8,18,19,21,19,24,13,15,28,22,25,27,20,23,17,11,9,18,10,11,14,18,10,13,12,17,6,20,12,9,4,15,6,17,8,12,6,12,6,12,2,7,6,11,3,5,3,4,1,7,1,2,1,2,0,2,0,4,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1929,2979,1448,1531,4,5,4,8,4,9,6,9,8,4,10,7,15,8,7,3,6,10,16,6,4,6,10,6,10,7,11,7,4,6,10,10,9,8,8,7,11,12,18,19,9,13,14,6,22,22,26,26,31,38,26,34,23,37,43,15,39,27,24,29,16,25,18,24,27,31,17,28,30,20,21,23,18,23,23,15,25,36,23,14,28,23,23,22,27,27,26,23,24,25,15,30,17,30,19,19,17,18,20,31,35,22,30,15,18,20,26,19,24,19,18,23,26,18,24,17,17,18,17,20,20,14,15,18,16,16,10,7,16,7,17,8,9,5,13,13,14,13,9,16,8,16,11,17,11,23,18,15,28,24,10,17,18,20,12,13,9,9,4,10,15,16,9,19,12,12,9,13,3,12,3,8,4,10,7,9,6,12,1,11,6,10,0,8,1,7,0,4,3,5,0,4,0,1,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2110,3863,1881,1982,8,15,10,20,17,11,21,15,13,14,12,25,16,20,13,18,13,13,16,13,19,11,18,18,18,7,21,21,15,10,14,15,10,13,14,15,11,12,20,13,23,12,23,14,27,22,34,28,31,25,23,30,33,29,27,33,25,25,24,22,19,29,28,23,31,25,24,28,31,22,25,36,29,26,25,27,22,27,29,26,25,31,27,30,23,15,32,26,23,26,32,40,24,28,28,29,43,34,26,23,31,35,27,29,31,37,26,38,25,19,21,25,30,31,14,21,34,22,26,23,28,23,15,23,19,16,22,15,23,29,27,20,17,16,19,16,14,23,17,22,15,18,19,13,14,14,22,21,18,19,17,21,25,22,13,17,18,24,9,25,15,17,15,25,18,19,13,18,8,13,9,10,10,16,8,15,5,17,6,13,2,9,11,10,1,8,2,9,4,4,2,4,1,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
