町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329441,572677,275403,297274,1865,1761,1904,1815,1968,1906,1939,1926,2020,1962,2042,2011,2106,2032,2087,2051,2137,2101,2161,2014,2088,1936,2005,1928,2004,1987,2059,1926,2014,1905,1989,1865,2002,1908,1888,1858,1877,1800,2320,2368,2448,2389,2703,2831,3058,3279,3889,4108,4138,4424,4676,4795,4695,4984,4732,5077,4546,4911,4769,4998,4417,4648,4302,4534,4261,4274,4104,4207,3939,4004,4188,4276,4137,4136,4080,4155,4413,4195,4455,4386,4339,4457,4349,4208,4232,4172,4241,4334,4513,4451,4494,4496,4464,4449,4400,4519,4437,4518,4524,4906,4675,4802,4505,4818,4339,4716,4461,4705,4323,4458,4323,4418,4245,4174,3463,3541,4053,4004,3899,3856,3576,3567,3254,3374,3175,3124,2950,3074,2818,2952,2803,2787,2543,2699,2413,2607,2474,2542,2384,2538,2308,2515,2386,2552,2223,2587,2449,2891,2692,3266,2773,3257,2987,3516,1992,2617,1528,2003,1730,2439,1894,2561,1661,2478,1637,2480,1425,2277,1180,1859,978,1813,1093,1927,938,1829,911,1872,757,1586,607,1428,579,1312,413,1112,331,930,282,786,182,688,138,513,96,381,64,292,27,216,24,122,10,89,8,61,4,30,1,25,1,11,0,8,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5061,8117,4162,3955,29,32,27,33,27,30,29,21,26,26,23,32,35,31,28,30,34,27,27,18,25,26,23,22,25,31,18,29,25,14,25,28,18,26,24,19,18,27,32,25,42,40,39,32,43,57,70,65,88,69,103,77,121,74,112,82,94,80,103,80,104,66,73,73,89,62,65,67,64,77,85,74,94,63,80,73,71,68,75,68,76,64,76,63,68,55,50,64,69,49,61,76,66,54,64,60,70,63,60,67,71,50,61,62,65,54,63,53,60,50,60,62,58,41,58,31,45,52,38,45,42,43,37,24,44,28,29,34,27,32,22,24,27,35,25,34,23,25,34,26,30,44,32,39,36,23,34,36,36,41,34,34,40,45,23,27,20,16,19,36,27,27,22,27,19,26,16,25,15,23,10,23,11,14,11,20,10,28,7,17,6,10,8,17,2,15,3,12,3,6,3,8,1,13,0,2,0,2,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3178,5277,2522,2755,25,22,21,21,25,28,33,24,25,25,26,34,17,18,16,16,16,22,17,13,19,14,15,13,14,8,15,14,10,11,16,9,21,18,9,18,16,12,13,15,10,13,17,17,19,26,40,28,36,33,27,37,45,46,46,45,37,45,45,44,40,50,36,54,51,60,56,41,39,52,52,46,51,40,51,37,52,57,45,41,47,53,48,44,55,47,41,36,35,52,44,48,38,47,42,35,45,43,41,55,41,44,44,43,41,57,44,40,35,40,36,39,22,29,28,33,31,34,24,24,34,31,19,30,26,28,21,32,22,19,22,18,24,30,22,21,20,27,26,30,25,29,17,26,28,27,16,25,26,32,26,34,30,25,21,21,19,13,16,19,14,25,9,23,9,15,12,21,8,17,6,21,13,17,10,12,5,22,8,7,7,8,3,13,1,4,3,7,4,4,2,3,1,4,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3966,5804,2926,2878,12,16,13,14,20,10,15,19,9,11,17,8,12,10,13,17,18,10,13,21,15,18,15,12,13,12,11,14,13,5,9,16,11,12,9,6,9,13,22,25,27,26,39,37,44,45,45,54,69,66,77,78,79,82,78,90,70,78,81,65,77,66,64,66,52,64,57,56,62,49,65,59,56,48,57,30,58,52,49,42,55,42,53,48,46,38,46,49,49,46,49,50,43,29,51,37,54,43,49,40,58,37,43,39,31,37,44,30,41,36,36,32,32,24,23,31,28,34,28,25,35,33,31,27,28,27,25,29,32,21,20,21,19,13,28,23,26,27,20,27,25,15,13,33,23,19,22,27,24,27,26,24,22,33,14,20,17,14,16,17,19,21,13,16,18,20,8,16,3,20,7,10,10,18,7,16,5,16,9,15,7,19,4,11,6,7,3,6,3,2,1,5,1,5,0,2,1,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4275,7375,3731,3644,31,20,41,25,23,21,40,33,26,29,24,20,30,30,25,30,24,31,33,39,34,18,20,27,29,33,22,25,28,26,28,26,26,32,24,22,20,24,44,34,35,42,46,42,50,50,80,56,96,55,81,70,90,59,79,65,78,59,69,79,55,58,64,56,63,49,51,49,57,53,72,49,62,51,59,53,63,57,54,55,58,57,54,56,59,54,54,58,66,50,66,67,64,47,67,55,52,50,54,55,56,52,46,69,48,55,63,50,48,56,50,48,72,52,34,38,50,42,41,33,52,34,38,40,37,36,38,40,28,24,38,27,26,34,23,28,29,30,19,23,24,24,24,33,17,20,22,34,31,38,35,50,34,43,24,39,19,25,23,23,25,24,25,33,22,35,15,25,12,21,9,21,10,19,8,17,5,15,12,12,8,14,2,14,5,12,2,9,6,7,0,9,3,7,2,4,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3769,6492,3082,3410,27,16,22,15,20,15,12,22,18,19,22,25,26,14,25,23,22,22,23,22,17,19,31,15,20,22,23,18,14,23,24,15,23,10,22,17,21,21,21,28,27,33,30,34,41,37,44,41,49,59,46,69,54,52,67,78,64,69,60,67,60,67,55,65,52,59,40,53,41,59,45,58,44,51,56,52,49,50,55,53,49,49,41,53,53,41,49,53,40,48,42,52,48,49,43,49,48,37,52,61,56,51,46,68,48,53,44,48,51,47,52,49,55,63,28,41,40,44,48,44,43,39,36,39,41,44,27,37,28,30,34,28,31,38,23,27,29,34,19,23,33,36,30,26,28,26,21,37,29,27,32,28,39,33,24,39,13,25,17,30,23,30,13,26,17,26,13,14,14,12,12,19,15,15,7,15,4,13,13,16,6,10,6,15,5,13,6,10,4,10,0,5,0,8,1,9,0,3,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4827,8556,4125,4431,23,26,19,32,30,23,34,34,28,32,39,32,44,32,36,33,36,38,32,37,38,34,33,35,35,35,33,34,30,24,28,29,31,21,26,28,27,30,32,25,36,37,30,38,42,48,59,46,50,48,73,75,86,63,75,61,69,68,73,64,75,71,61,66,59,51,67,63,54,52,70,74,59,69,61,70,65,65,72,75,72,79,63,74,76,65,72,67,74,72,76,66,70,83,75,80,74,67,58,78,78,72,78,71,64,63,72,59,45,60,70,66,51,52,45,45,41,51,50,57,45,44,36,46,39,48,31,56,45,40,49,45,35,38,32,47,27,33,33,41,33,43,37,35,37,39,45,36,42,53,40,47,43,48,27,42,18,32,29,38,32,46,27,40,25,51,21,34,23,25,16,24,9,25,15,35,14,27,11,17,11,18,6,24,4,20,3,9,2,9,1,8,2,3,3,6,1,4,1,5,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3368,4617,2192,2425,21,15,11,11,9,11,13,10,10,9,12,9,9,9,7,10,8,12,11,6,7,8,5,11,8,5,5,6,4,5,6,9,6,10,4,6,8,14,20,26,23,28,24,26,25,41,50,67,62,65,61,68,70,89,66,90,64,64,68,64,65,61,44,65,46,61,45,47,43,38,38,38,36,35,41,40,47,37,37,31,29,24,23,38,37,35,33,28,49,43,36,33,36,21,25,32,34,28,52,43,36,28,35,25,23,28,23,22,34,27,25,38,24,18,27,22,24,29,28,25,13,22,19,25,12,21,27,26,21,22,16,21,15,19,15,24,12,21,8,15,17,21,22,20,11,20,25,20,25,24,23,27,18,8,9,20,8,11,12,17,13,15,14,17,6,20,9,9,6,14,7,14,7,15,7,13,6,13,2,6,5,8,4,7,3,3,1,6,1,3,0,3,1,1,0,5,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1922,2970,1444,1526,5,4,3,10,4,10,8,8,8,4,9,7,13,9,8,2,7,11,12,6,8,7,10,4,11,9,9,6,5,7,8,8,9,10,10,4,8,12,16,18,13,15,12,6,24,21,25,26,31,33,29,42,21,35,40,19,35,24,29,23,17,29,17,21,21,32,24,28,27,20,24,24,13,21,18,16,28,33,25,18,27,23,23,18,28,30,26,24,24,27,18,24,17,29,17,23,15,20,22,31,30,21,37,17,19,18,21,20,27,18,17,24,24,17,25,17,19,17,17,22,21,13,13,11,14,22,11,6,18,8,17,9,10,3,12,14,15,13,7,12,9,19,5,15,17,21,14,20,30,18,12,21,16,16,13,20,9,7,4,9,14,17,8,19,12,11,12,12,2,12,3,10,5,10,7,8,4,10,3,13,5,9,1,7,0,8,1,3,2,5,1,4,0,2,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2113,3853,1877,1976,8,13,8,18,16,16,22,14,15,15,12,21,14,22,13,15,11,14,17,14,16,13,18,16,16,8,22,18,19,11,13,17,10,13,14,13,12,14,19,14,21,9,22,16,28,20,30,30,31,22,23,30,32,30,24,36,29,26,25,20,18,30,24,27,29,24,27,27,32,19,26,38,32,28,25,24,24,29,28,26,26,27,28,33,23,18,32,26,25,22,31,32,22,32,26,27,44,33,27,27,30,35,26,29,27,31,30,39,26,21,22,26,30,32,16,22,27,17,29,27,24,25,21,19,20,17,18,14,23,29,30,18,16,19,19,18,14,20,15,25,17,15,17,14,16,17,23,20,17,19,15,16,29,23,12,21,16,23,15,23,12,20,14,19,18,23,12,16,9,14,10,14,9,10,9,18,6,16,4,13,5,12,10,7,1,6,1,7,5,7,1,4,2,4,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
