"年月日[西暦]","学校名","学級数(1年)[組]","児童数(1年男)[人]","児童数(1年女)[人]","学級数(2年)[組]","児童数(2年男)[人]","児童数(2年女)[人]","学級数(3年)[組]","児童数(3年男)[人]","児童数(3年女)[人]","学級数(4年)[組]","児童数(4年男)[人]","児童数(4年女)[人]","学級数(5年)[組]","児童数(5年男)[人]","児童数(5年女)[人]","学級数(6年)[組]","児童数(6年男)[人]","児童数(6年女)[人]","学級数(全学年)[組]","児童数(全学年男)[人]","児童数(全学年女)[人]"
"20240407","御成門学園　御成門小学校","3","42","41","3","41","47","3","45","36","3","45","34","2","37","32","2","45","29","16","255","219"
"20240407","芝小学校","2","30","39","3","37","41","3","50","38","3","37","44","3","34","40","2","35","24","16","223","226"
"20240407","赤羽小学校","4","58","82","4","64","65","3","55","42","3","50","45","3","40","50","3","48","42","20","315","326"
"20240407","芝浦小学校","5","95","78","5","67","59","5","87","70","5","84","89","4","71","67","4","72","75","28","476","438"
"20240407","芝浜小学校","5","87","64","5","77","68","4","73","55","3","42","54","2","36","20","2","32","31","21","347","292"
"20240407","御田小学校","3","38","33","2","31","37","2","30","28","3","38","45","3","40","45","2","28","37","15","205","225"
"20240407","高輪台小学校","4","62","65","5","86","72","4","65","56","4","63","66","3","53","52","4","65","70","24","394","381"
"20240407","白金小学校","4","71","60","4","80","52","4","63","53","5","72","71","4","68","56","3","68","48","24","422","340"
"20240407","白金の丘学園　白金の丘小学校","4","57","75","4","58","78","4","65","59","4","59","65","4","75","53","4","68","59","24","382","389"
"20240407","港南小学校","6","91","88","6","104","97","7","137","82","7","116","102","6","120","80","6","102","118","38","670","567"
"20240407","麻布小学校","3","39","34","3","38","34","2","37","28","3","37","34","2","26","20","2","29","24","15","206","174"
"20240407","南山小学校","2","27","19","2","26","24","2","26","20","2","29","25","2","28","25","2","30","16","12","166","129"
"20240407","本村小学校","2","26","31","2","40","31","2","31","27","2","35","26","2","24","26","2","30","33","12","186","174"
"20240407","笄小学校","3","54","32","3","39","35","3","57","37","3","48","32","3","47","43","3","46","39","18","291","218"
"20240407","東町小学校","2","29","34","3","39","37","3","39","43","3","30","42","3","34","44","2","44","33","16","215","233"
"20240407","赤坂学園　赤坂小学校","4","55","51","4","58","56","3","50","47","3","46","48","3","38","41","3","39","42","20","286","285"
"20240407","青山小学校","1","11","10","1","11","12","1","8","12","1","17","16","1","17","18","1","11","14","6","75","82"
"20240407","青南小学校","4","47","61","4","68","68","4","69","60","4","54","52","3","58","46","3","57","47","22","353","334"
"20240407","お台場学園　港陽小学校","2","23","26","2","18","25","2","31","22","2","37","25","2","35","22","2","30","33","12","174","153"

"港区立小学校  児童数・学級数","Ver202404",,,,,,,,,,,,,,,,,,,,,
