"消防団名","分団数","団員数 定員[人]","団員数 現員[人]"
"芝消防団","8","220","185"
"麻布消防団","4","120","102"
"赤坂消防団","3","130","107"
"高輪消防団","4","110","101"
"合計","19","580","495"

"令和元年度港区行政資料集　消防団","Ver201904",,
