"年月日","0～ 4歳[人]","5～ 9歳[人]","10～14歳[人]","15～19歳[人]","20～24歳[人]","25～29歳[人]","30～34歳[人]","35～39歳[人]","40～44歳[人]","45～49歳[人]","50～54歳[人]","55～59歳[人]","60～64歳[人]","65～69歳[人]","70～74歳[人]","75～79歳[人]","80～84歳[人]","85～89歳[人]","90～94歳[人]","95～99歳[人]","100～歳[人]"
20090101,8903,6723,5946,5542,9319,16030,21343,22242,18819,14085,11025,11966,12052,10007,8380,6997,4911,2881,1231,387,70
20100101,9399,6983,5909,5768,8827,15606,20842,22760,19541,14998,11397,11143,12722,10259,8334,7212,5003,3075,1291,407,67
20110101,10079,7183,6130,5725,8576,15455,20697,23070,20217,16354,12067,10638,13289,9968,8323,7473,5232,3301,1338,415,69
20120101,10271,7470,6287,5732,8445,15520,20350,22869,21550,16763,12565,10428,13321,9909,8565,7617,5397,3448,1392,422,76
20130101,11633,8628,7010,6329,9193,17607,23151,25698,24454,19793,14794,11299,12867,10972,8982,7768,5763,3493,1570,451,83
20140101,11914,9078,7130,6525,9143,17209,23034,25450,25189,20949,15607,11777,11906,11586,9397,7600,5947,3637,1685,484,90
20150101,12683,9425,7411,6579,9437,17109,23071,25475,25710,21888,16744,12231,11073,12286,9674,7594,6041,3763,1782,513,96
20160101,13224,10043,7549,6748,9570,16825,22745,25119,25904,22339,17847,12923,10700,12825,9389,7586,6228,3846,1925,538,104
20170101,13971,10564,7944,6866,9785,17069,22647,25004,25992,23885,18275,13494,10591,12917,9310,7825,6410,3993,2001,591,108
20180101,14318,11122,8432,7064,9991,17178,22293,24999,25830,24244,19570,14365,10611,12006,10034,8081,6484,4221,2051,624,121

"平成30年度港区行政資料集　年齢（５歳階級）別人口の最近10年間の推移","Ver201801",,,,,,,,,,,,,,,,,,,,
