国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,-1085,699,25756,25057,3,35701,35698,-4011,7489,11500,2224,-4397
総数,1,13100,区部,260,588,20213,19625,-205,27219,27424,-2032,5508,7540,1909,-2438
総数,4,13101,千代田区,75,55,158,103,-15,365,380,11,45,34,24,69
総数,4,13102,中央区,343,113,439,326,94,787,693,71,166,95,65,275
総数,4,13103,港区,245,69,552,483,18,1011,993,95,233,138,63,144
総数,4,13104,新宿区,-240,31,885,854,-312,1514,1826,-68,167,235,109,-250
総数,4,13105,文京区,99,106,478,372,-94,779,873,29,172,143,58,22
総数,4,13106,台東区,241,115,627,512,83,967,884,-36,137,173,79,116
総数,4,13107,墨田区,72,82,737,655,40,1039,999,-45,190,235,-5,45
総数,4,13108,江東区,117,60,1033,973,31,1511,1480,-93,322,415,119,-112
総数,4,13109,品川区,294,154,1012,858,130,1306,1176,-10,275,285,20,184
総数,4,13110,目黒区,-108,31,597,566,-77,1042,1119,-17,171,188,-45,-107
総数,4,13111,大田区,20,37,1804,1767,73,1354,1281,-241,386,627,151,-189
総数,4,13112,世田谷区,-356,-127,1604,1731,-99,2055,2154,-193,446,639,63,-462
総数,4,13113,渋谷区,-113,33,472,439,-99,952,1051,-37,133,170,-10,-180
総数,4,13114,中野区,-47,13,758,745,-41,1288,1329,-68,186,254,49,-168
総数,4,13115,杉並区,-132,11,996,985,-79,1734,1813,-84,322,406,20,-247
総数,4,13116,豊島区,-204,-16,707,723,-232,1118,1350,-64,153,217,108,-326
総数,4,13117,北区,46,36,870,834,-61,966,1027,-70,215,285,141,-79
総数,4,13118,荒川区,125,37,468,431,35,702,667,-77,127,204,130,-28
総数,4,13119,板橋区,-173,-122,1144,1266,23,1472,1449,-247,269,516,173,-303
総数,4,13120,練馬区,113,-80,1242,1322,193,1767,1574,-76,480,556,76,-49
総数,4,13121,足立区,46,99,1475,1376,164,1352,1188,-391,309,700,174,-178
総数,4,13122,葛飾区,6,-83,859,942,117,993,876,-245,228,473,217,-122
総数,4,13123,江戸川区,-209,-66,1296,1362,-97,1145,1242,-176,376,552,130,-493
総数,1,13200,市部,-1314,98,5459,5361,162,8339,8177,-1881,1959,3840,307,-1903
総数,4,13201,八王子市,-112,82,728,646,56,765,709,-293,232,525,43,-191
総数,4,13202,立川市,-92,47,250,203,-76,456,532,-88,82,170,25,-121
