階層コード,地域コード,地域,人口総数／2023-12-01,人口総数／2022-12-01,人口総数／2021-12-01,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14109648,14042127,13998001,67521,0.48 ,111647,0.80 
1,13100,区部,9794524,9722792,9679649,71732,0.74 ,114875,1.19 
1,13200,市部,4237663,4241080,4239255,-3417,-0.08 ,-1592,-0.04 
1,13300,郡部,54125,54560,55010,-435,-0.80 ,-885,-1.61 
1,13350,島部,23336,23695,24087,-359,-1.52 ,-751,-3.12 
,,,,,,,,,
東京都の人口（推計）_令和5年12月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
