国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,10740,2970,30706,27736,399,37803,37404,-3902,8007,11909,11273,-2151
総数,1,13100,区部,10276,2357,24255,21898,387,29208,28821,-2098,5793,7891,9630,-659
総数,4,13101,千代田区,78,54,194,140,-64,308,372,8,55,47,80,15
総数,4,13102,中央区,417,81,471,390,158,893,735,91,177,86,87,325
総数,4,13103,港区,302,139,708,569,-160,1058,1218,85,225,140,238,113
総数,4,13104,新宿区,807,157,1065,908,-449,1554,2003,-46,204,250,1145,-215
総数,4,13105,文京区,535,147,588,441,-14,799,813,20,149,129,382,93
総数,4,13106,台東区,644,221,747,526,78,1032,954,-42,142,184,387,140
総数,4,13107,墨田区,440,141,803,662,13,1068,1055,-23,198,221,309,63
総数,4,13108,江東区,439,185,1240,1055,-14,1478,1492,-74,316,390,342,-14
総数,4,13109,品川区,533,157,1143,986,259,1370,1111,-63,261,324,180,284
総数,4,13110,目黒区,-20,-35,610,645,-54,993,1047,-34,181,215,103,-210
総数,4,13111,大田区,55,-109,2100,2209,-10,1366,1376,-237,388,625,411,-486
総数,4,13112,世田谷区,201,113,1958,1845,-19,2146,2165,-109,550,659,216,-181
総数,4,13113,渋谷区,225,68,555,487,34,1158,1124,-1,149,150,124,71
総数,4,13114,中野区,674,141,941,800,-64,1503,1567,-34,224,258,631,-46
総数,4,13115,杉並区,148,58,1188,1130,-166,1754,1920,-107,335,442,363,-313
総数,4,13116,豊島区,633,90,896,806,-227,1290,1517,-54,155,209,824,-231
総数,4,13117,北区,474,37,1012,975,24,1075,1051,-137,220,357,550,-91
総数,4,13118,荒川区,514,32,520,488,37,767,730,-64,130,194,509,-38
総数,4,13119,板橋区,585,159,1504,1345,113,1535,1422,-258,288,546,571,-89
総数,4,13120,練馬区,1112,125,1638,1513,779,2374,1595,-198,446,644,406,526
総数,4,13121,足立区,461,211,1712,1501,128,1341,1213,-359,362,721,481,-135
総数,4,13122,葛飾区,461,142,1130,988,22,1029,1007,-214,269,483,511,5
総数,4,13123,江戸川区,558,43,1532,1489,-17,1317,1334,-248,369,617,780,-245
総数,1,13200,市部,488,600,6354,5754,-39,8419,8458,-1702,2186,3888,1629,-1447
総数,4,13201,八王子市,170,161,924,763,110,825,715,-316,257,573,215,-68
総数,4,13202,立川市,145,44,295,251,120,562,442,-43,101,144,24,80
総数,4,13203,武蔵野市,-29,52,265,213,-99,418,517,-28,98,126,46,-107
総数,4,13204,三鷹市,59,14,264,250,-8,513,521,-35,117,152,88,-53
総数,4,13205,青梅市,22,53,162,109,44,236,192,-107,50,157,32,-43
総数,4,13206,府中市,-62,27,372,345,-291,510,801,-60,139,199,262,-333
総数,4,13207,昭島市,21,-20,125,145,4,247,243,-50,62,112,87,-56
総数,4,13208,調布市,1,-4,362,366,2,552,550,-58,131,189,61,-48
総数,4,13209,町田市,-66,140,880,740,-21,357,378,-208,214,422,23,-116
総数,4,13210,小金井市,58,26,213,187,25,348,323,-10,80,90,17,18
総数,4,13211,小平市,55,23,274,251,-37,405,442,-42,118,160,111,-70
総数,4,13212,日野市,43,41,279,238,-16,346,362,-72,113,185,90,-67
総数,4,13213,東村山市,55,34,205,171,36,284,248,-68,89,157,53,-17
総数,4,13214,国分寺市,56,22,203,181,45,400,355,-24,71,95,13,32
総数,4,13215,国立市,-92,-25,103,128,-32,188,220,-51,33,84,16,-90
総数,4,13218,福生市,15,1,98,97,-40,132,172,-46,22,68,100,-101
総数,4,13219,狛江市,-83,-1,161,162,-43,148,191,-46,41,87,7,-102
総数,4,13220,東大和市,-5,-15,54,69,2,168,166,-24,54,78,32,-17
総数,4,13221,清瀬市,22,7,128,121,68,149,81,-56,31,87,3,4
総数,4,13222,東久留米市,32,10,143,133,65,268,203,-79,61,140,36,-26
総数,4,13223,武蔵村山市,2,19,92,73,17,142,125,-53,22,75,19,-16
総数,4,13224,多摩市,27,-15,184,199,11,285,274,-77,45,122,108,-76
総数,4,13225,稲城市,3,40,171,131,-18,142,160,-9,62,71,-10,-22
総数,4,13227,羽村市,76,29,85,56,-4,133,137,-20,25,45,71,25
総数,4,13228,あきる野市,-9,11,71,60,53,182,129,-76,26,102,3,-30
総数,4,13229,西東京市,-28,-74,241,315,-32,479,511,-44,124,168,122,-148
総数,1,13550,町村部,-24,13,97,84,51,176,125,-102,28,130,14,-45
総数,2,13300,郡部,-8,4,59,55,58,152,94,-83,19,102,13,-28
総数,4,13303,瑞穂町,24,7,44,37,46,94,48,-38,11,49,9,3
総数,4,13305,日の出町,-20,-5,11,16,8,44,36,-27,7,34,4,-17
総数,4,13307,檜原村,-3,0,0,0,0,2,2,-3,1,4,0,-3
総数,4,13308,奥多摩町,-9,2,4,2,4,12,8,-15,0,15,0,-11
総数,2,13350,島部,-16,9,38,29,-7,24,31,-19,9,28,1,-17
総数,3,13360,大島支庁,-26,4,15,11,-14,7,21,-18,2,20,2,-27
総数,4,13361,大島町,-12,4,11,7,-8,5,13,-10,1,11,2,-13
総数,4,13362,利島村,-2,0,0,0,-2,0,2,0,0,0,0,-2
総数,4,13363,新島村,-5,2,4,2,-4,1,5,-3,0,3,0,-5
総数,4,13364,神津島村,-7,-2,0,2,0,1,1,-5,1,6,0,-7
総数,3,13380,三宅支庁,-2,-1,3,4,4,5,1,-4,0,4,-1,-1
総数,4,13381,三宅村,-3,-1,3,4,3,4,1,-4,0,4,-1,-2
総数,4,13382,御蔵島村,1,0,0,0,1,1,0,0,0,0,0,1
総数,3,13400,八丈支庁,5,3,11,8,1,9,8,1,5,4,0,5
総数,4,13401,八丈町,7,7,10,3,-1,7,8,1,5,4,0,7
総数,4,13402,青ヶ島村,-2,-4,1,5,2,2,0,0,0,0,0,-2
総数,3,13420,小笠原支庁,7,3,9,6,2,3,1,2,2,0,0,6
総数,4,13421,小笠原村,7,3,9,6,2,3,1,2,2,0,0,6
日本人,0,13000,総数,-2151,1677,26479,24802,255,31667,31412,-4139,7668,11807,56,
日本人,1,13100,区部,-659,1390,20774,19384,218,23723,23505,-2299,5516,7815,32,
日本人,4,13101,千代田区,15,51,175,124,-53,262,315,6,52,46,11,
日本人,4,13102,中央区,325,71,433,362,167,784,617,87,172,85,0,
日本人,4,13103,港区,113,125,645,520,-90,912,1002,79,219,140,-1,
日本人,4,13104,新宿区,-215,111,850,739,-277,1107,1384,-53,194,247,4,
日本人,4,13105,文京区,93,117,515,398,-49,613,662,17,145,128,8,
日本人,4,13106,台東区,140,170,628,458,23,777,754,-49,133,182,-4,
日本人,4,13107,墨田区,63,114,728,614,-26,869,895,-28,193,221,3,
日本人,4,13108,江東区,-14,133,1081,948,-42,1180,1222,-89,299,388,-16,
日本人,4,13109,品川区,284,123,1052,929,219,1219,1000,-66,257,323,8,
日本人,4,13110,目黒区,-210,-64,559,623,-74,880,954,-38,177,215,-34,
日本人,4,13111,大田区,-486,-168,1842,2010,-70,1176,1246,-251,369,620,3,
日本人,4,13112,世田谷区,-181,67,1827,1760,-96,1897,1993,-117,539,656,-35,
日本人,4,13113,渋谷区,71,64,511,447,4,1009,1005,-4,145,149,7,
日本人,4,13114,中野区,-46,80,801,721,-88,1192,1280,-46,208,254,8,
日本人,4,13115,杉並区,-313,8,1060,1052,-182,1488,1670,-114,325,439,-25,
日本人,4,13116,豊島区,-231,32,632,600,-180,836,1016,-64,143,207,-19,
日本人,4,13117,北区,-91,8,820,812,37,777,740,-139,213,352,3,
日本人,4,13118,荒川区,-38,24,407,383,-4,509,513,-75,114,189,17,
