地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注1）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14063564,6897309,7166255,96.2 ,100.00 ,2194.05,6410,35524,7383836
1,13100,区部,9748492,4776859,4971633,96.1 ,69.32 ,627.53,15535,31965,5329150
1,13200,市部,4237751,2081344,2156407,96.5 ,30.13 ,783.95,5406,4257,2020522
2,13300,郡部,54382,27033,27349,98.8 ,0.39 ,375.86,145,-64,22050
2,13350,島部,22939,12073,10866,111.1 ,0.16 ,406.71,56,-634,12114
1,13100,区部,9748492,4776859,4971633,96.1 ,69.32 ,627.53,15535,31965,5329150
4,13101,千代田区,67934,34224,33710,101.5 ,0.48 ,11.66,5826,160,38201
4,13102,中央区,174272,83234,91038,91.4 ,1.24 ,10.21,17069,409,96704
4,13103,港区,264563,125021,139542,89.6 ,1.88 ,20.37,12988,1466,150093
4,13104,新宿区,351119,175955,175164,100.5 ,2.50 ,18.22,19271,595,228293
4,13105,文京区,243493,117088,126405,92.6 ,1.73 ,11.29,21567,494,137155
4,13106,台東区,217147,111131,106016,104.8 ,1.54 ,10.11,21478,976,132033
4,13107,墨田区,278519,137326,141193,97.3 ,1.98 ,13.77,20227,1461,155142
4,13108,江東区,532984,261671,271313,96.4 ,3.79 ,43.01,12392,1902,275792
4,13109,品川区,421321,207730,213591,97.3 ,3.00 ,22.84,18447,2048,240275
4,13110,目黒区,285257,134090,151167,88.7 ,2.03 ,14.67,19445,637,155753
4,13111,大田区,743683,371052,372631,99.6 ,5.29 ,61.86,12022,3879,406338
4,13112,世田谷区,939112,443050,496062,89.3 ,6.68 ,58.05,16178,2748,495151
4,13113,渋谷区,243100,117243,125857,93.2 ,1.73 ,15.11,16089,495,151044
4,13114,中野区,345013,172530,172483,100.0 ,2.45 ,15.59,22130,1747,211211
4,13115,杉並区,588867,283569,305298,92.9 ,4.19 ,34.06,17289,2174,338254
4,13116,豊島区,303866,152322,151544,100.5 ,2.16 ,13.01,23356,908,187942
4,13117,北区,356817,177317,179500,98.8 ,2.54 ,20.61,17313,1410,194969
4,13118,荒川区,218278,108103,110175,98.1 ,1.55 ,10.16,21484,487,114867
4,13119,板橋区,583608,284934,298674,95.4 ,4.15 ,32.22,18113,2345,321867
4,13120,練馬区,751474,360284,391190,92.1 ,5.34 ,48.08,15630,1517,381317
4,13121,足立区,694588,346830,347758,99.7 ,4.94 ,53.25,13044,1650,356930
4,13122,葛飾区,454070,225739,228331,98.9 ,3.23 ,34.8,13048,1277,223228
4,13123,江戸川区,689407,346416,342991,101.0 ,4.90 ,49.9,13816,1180,336591
1,13200,市部,4237751,2081344,2156407,96.5 ,30.13 ,783.95,5406,4257,2020522
4,13201,八王子市,578517,290727,287790,101.0 ,4.11 ,186.38,3104,291,274461
4,13202,立川市,184694,91378,93316,97.9 ,1.31 ,24.36,7582,310,92582
4,13203,武蔵野市,150668,72211,78457,92.0 ,1.07 ,10.98,13722,337,78817
4,13204,三鷹市,195502,94214,101288,93.0 ,1.39 ,16.42,11906,412,97295
4,13205,青梅市,131162,65476,65686,99.7 ,0.93 ,103.31,1270,-142,57511
4,13206,府中市,262038,130621,131417,99.4 ,1.86 ,29.43,8904,94,125626
4,13207,昭島市,114639,56933,57706,98.7 ,0.82 ,17.34,6611,157,53652
4,13208,調布市,243930,117502,126428,92.9 ,1.73 ,21.58,11304,576,122868
4,13209,町田市,432897,211134,221763,95.2 ,3.08 ,71.55,6050,595,198407
