地域階層,地域コード,地域,人口／総数,人口／男,人口／女,性比（女100に対する男の割合）,人口総数に対する割合（％）,面積（ｋm2）注1）,人口密度（1ｋm2当たり）,前月人口との増減,＜参考値＞世帯数
0,13000,総数,14034861,6884898,7149963,96.29277802,100,2194.05,6397,-7266,7335101
1,13100,区部,9717480,4762877,4954603,96.13034586,69.23816346,627.53,15485,-5312,5285751
1,13200,市部,4239226,2082480,2156746,96.5565718,30.20497317,783.95,5408,-1854,2014822
2,13300,郡部,54504,27083,27421,98.76736808,0.388347273,375.86,145,-56,22028
2,13350,島部,23651,12458,11193,111.3017064,0.168516097,406.71,58,-44,12500
1,13100,区部,9717480,4762877,4954603,96.13034586,69.23816346,627.53,15485,-5312,5285751
4,13101,千代田区,67549,34071,33478,101.7713125,0.4812944,11.66,5793,98,37789
4,13102,中央区,173130,82677,90453,91.40327021,1.233571177,10.21,16957,117,95596
4,13103,港区,262208,123902,138306,89.58541206,1.868262179,20.37,12872,-281,148323
4,13104,新宿区,351085,176078,175007,100.6119755,2.501521034,18.22,19269,-556,227603
4,13105,文京区,242945,116876,126069,92.70796151,1.731011087,11.29,21519,-213,136551
4,13106,台東区,215802,110524,105278,104.9829974,1.537614088,10.11,21345,-3,130460
4,13107,墨田区,276419,136404,140015,97.42099061,1.96951719,13.77,20074,147,152844
4,13108,江東区,530561,260695,269866,96.60164674,3.780308191,43.01,12336,52,272756
4,13109,品川区,419155,206570,212585,97.17054355,2.986527619,22.84,18352,-101,237519
4,13110,目黒区,284641,133861,150780,88.77901578,2.028099886,14.67,19403,-122,154682
4,13111,大田区,740034,369146,370888,99.53031643,5.272827426,61.86,11963,-421,401442
4,13112,世田谷区,936846,442092,494754,89.35592234,6.675135578,58.05,16139,-699,492029
4,13113,渋谷区,242397,116855,125542,93.08040337,1.727106524,15.11,16042,-220,149996
4,13114,中野区,343419,171703,171716,99.99242936,2.446899902,15.59,22028,-384,209293
4,13115,杉並区,587185,282679,304506,92.83199674,4.183760708,34.06,17240,-371,335897
4,13116,豊島区,303113,152010,151103,100.6002528,2.159715012,13.01,23298,-102,186901
4,13117,北区,355379,176719,178660,98.91357886,2.532116278,20.61,17243,-378,193192
4,13118,荒川区,217859,107894,109965,98.11667349,1.55227045,10.16,21443,-86,114253
4,13119,板橋区,581773,284234,297539,95.5283173,4.145199586,32.22,18056,-423,318985
4,13120,練馬区,750631,360019,390612,92.16793135,5.348332271,48.08,15612,-279,379146
4,13121,足立区,693330,346362,346968,99.82534412,4.94005605,53.25,13020,-290,354238
4,13122,葛飾区,452960,225250,227710,98.91967854,3.227392134,34.8,13016,-138,221403
4,13123,江戸川区,689059,346256,342803,101.0072841,4.909624684,49.9,13809,-659,334853
1,13200,市部,4239226,2082480,2156746,96.5565718,30.20497317,783.95,5408,-1854,2014822
4,13201,八王子市,579628,291284,288344,101.0196155,4.129916214,186.38,3110,-172,274273
4,13202,立川市,184625,91339,93286,97.9128701,1.315474375,24.36,7579,-6,92151
