階層コード,地域コード,地域,人口総数／2023-02-01,人口総数／2022-02-01,人口総数／2021-02-01,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14031030,13980485,14029400,50545,0.36 ,1630,0.01 
1,13100,区部,9716776,9665798,9716013,50978,0.53 ,763,0.01 
1,13200,市部,4236236,4235749,4233718,487,0.01 ,2518,0.06 
1,13300,郡部,54404,54923,55305,-519,-0.94 ,-901,-1.63 
1,13350,島部,23614,24015,24364,-401,-1.67 ,-750,-3.08 
,,,,,,,,,
東京都の人口（推計）_令和5年2月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
