"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2016",,
"期間（自）","20160401",,
"期間（至）","20170331",,
"前年度末純資産残高","3415897","3431065","-15168"
"本年度純資産変動額 本年度差額 純行政コスト","-140750",,"-140750"
"本年度純資産変動額 本年度差額 財源","157254",,"157254"
"本年度純資産変動額 本年度差額 財源 税収等","126071",,"126071"
"本年度純資産変動額 本年度差額 財源 国都等補助金","31182",,"31182"
"本年度純資産変動額 本年度差額","16504",,"16504"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"16888","-16888"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"19168","-19168"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-24131","24131"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"27752","-27752"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-5900","5900"
"本年度純資産変動額 資産評価差額","0","0",
"本年度純資産変動額 無償所管換等","10646","10646",
"本年度純資産変動額 その他","-272","0","-272"
"本年度純資産変動額","26877","27534","-657"
"本年度末純資産残高","3442774","3458599","-15824"

"全体会計財務書類（純資産変動計算書）(平成28年4月1日から平成29年3月31日)","Ver201703",,
