平成28年地価調査地点データ一覧（林地を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
継続地点,都道府県市区町村コード,対象年（和暦）,基準地名,基準地番号（用途）,基準地番号（連番）,都分類地区１,都分類地区２,区市町村名,地番,住居表示,当年価格（円）,前年価格（円）,対前年変動率（％）,地積（㎡）,形状区分,間口（比率）,奥行（比率）,利用の現況,構造,地上階,地下階,周辺の土地の利用の現況,前面道路区分,前面道路の方位,前面道路の幅員(m),前面道路の駅前区分,側道区分,側道方位,ガス,水道,下水道,主要交通施設,交通施設との近接区分,交通施設までの道路距離（m）,用途区分,防火地域,指定建ぺい率（％）,指定容積率（％）,割増容積率考慮区分,高度地区,区域区分,森林法,公園法,公園法普通特別,共通地点区分,前回地価公示都道府県市区町村コード,前回地価公示番号（用途）,前回地価公示番号（連番）,前回価公示価格（円）
○,13101 ,28 ,千代田,0 ,1 ,区部,都心５区,千代田区,六番町６番１外,,"3,630,000 ","3,260,000 ",11.3 ,"2,266 ",,1,1,共同住宅,SRC,10F,1B,中高層マンション、事務所等が混在する住宅地域,区道,北西,15,,,,ガス,水道,下水道,四ッ谷,,330 ,２住居,防火,60 ,400 ,★,,,,,,*,13101 ,0 ,3 ,"3,480,000 "
○,13101 ,28 ,千代田,0 ,2 ,区部,都心５区,千代田区,三番町９番４,,"2,650,000 ","2,380,000 ",11.3 ,"2,422 ",不整形,1,2.5,共同住宅,RC,13F,2B,中高層の共同住宅が多い住宅地域,区道,南東,8,,,,ガス,水道,下水道,半蔵門,,370 ,１住居,防火,60 ,400 ,,,,,,,,,,,
○,13101 ,28 ,千代田,0 ,3 ,区部,都心５区,千代田区,二番町１２番１０,,"2,020,000 ","1,830,000 ",10.4 ,436 ,,1,1,住宅,W,2F,,マンション、住宅、事務所等が混在する住宅地域,区道,北西,7.5,,,,ガス,水道,下水道,麹町,,190 ,２住居,防火,60 ,400 ,,,,,,,,,,,
○,13101 ,28 ,千代田,0 ,4 ,区部,都心５区,千代田区,麹町二丁目１０番４外,,"2,290,000 ","2,140,000 ",7.0 ,227 ,,1,1,共同住宅,RC,6F,,中高層マンション、事務所等が混在する住宅地域,区道,西,8,,,,ガス,水道,下水道,半蔵門,,200 ,２住居,防火,60 ,400 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,1 ,区部,都心５区,千代田区,丸の内三丁目２番外,丸の内３－３－１,"24,600,000 ","22,900,000 ",7.4 ,"9,827 ",,1,1.2,事務所、店舗兼駐車場等,SRC,9F,4B,大規模な高層事務所ビルが建ち並ぶ商業地域,都道,北,36,,四方路,,ガス,水道,下水道,東京,,480 ,商業,防火,80 ,"1,300 ",,,,,,,*,13101 ,5 ,19 ,"23,500,000 "
○,13101 ,28 ,千代田,5 ,2 ,区部,都心５区,千代田区,九段南三丁目１７番１８,九段南３－２－１５,"1,540,000 ","1,430,000 ",7.7 ,86 ,,1,1.5,店舗兼事務所,RC,7F,,中層店舗兼事務所が多い幹線道路背後の商業地域,区道,南東,11,,背面道,,ガス,水道,下水道,市ケ谷,,800 ,商業,防火,80 ,500 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,3 ,区部,都心５区,千代田区,霞が関三丁目５３番２外,霞が関３－７－１,"5,850,000 ","5,450,000 ",7.3 ,"1,896 ",,1,3.5,事務所,S,17F,1B,高層の事務所が建ち並ぶ官公庁の多い商業地域,都道,北,44,,四方路,,ガス,水道,下水道,溜池山王,,270 ,商業,防火,80 ,700 ,★,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,4 ,区部,都心５区,千代田区,外神田四丁目１００番外,外神田４－１－１,"9,430,000 ","8,530,000 ",10.6 ,"1,028 ",,1,1.2,店舗,SRC,7F,1B,中高層店舗ビルを中心とする繁華な商業地域,都道,西,37,,四方路,,ガス,水道,下水道,秋葉原,,250 ,商業,防火,80 ,700 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,5 ,区部,都心５区,千代田区,内神田一丁目６番１外,内神田１－１５－１０,"3,270,000 ","3,030,000 ",7.9 ,349 ,,1,1.5,店舗、事務所兼寄宿舎,RC,9F,2B,中高層の店舗兼事務所ビルが建ち並ぶ商業地域,区道,北,22,,三方路,,ガス,水道,下水道,小川町,,250 ,商業,防火,80 ,600 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,6 ,区部,都心５区,千代田区,岩本町一丁目４４番９,岩本町１－３－４,"1,730,000 ","1,610,000 ",7.5 ,95 ,,1,1.2,店舗、事務所兼住宅,SRC,8F,,中高層の店舗、事務所ビルが建ち並ぶ商業地域,区道,北西,22,,,,ガス,水道,下水道,神田,,500 ,商業,防火,80 ,600 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,7 ,区部,都心５区,千代田区,岩本町三丁目９番３,岩本町３－７－１３,"1,010,000 ","955,000 ",5.8 ,182 ,,1.2,1,店舗、事務所兼住宅,RC,5F,,卸売店舗、事務所等が混在する商業地域,区道,北東,8,,,,ガス,水道,下水道,岩本町,,240 ,商業,防火,80 ,500 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,8 ,区部,都心５区,千代田区,神田須田町一丁目２６番２,,"4,270,000 ","3,950,000 ",8.1 ,114 ,,1,1.5,店舗、事務所兼住宅,SRC,10F,,高層の店舗兼事務所ビルが建ち並ぶ商業地域,国道,北東,27,,,,ガス,水道,下水道,神田,,70 ,商業,防火,80 ,800 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,9 ,区部,都心５区,千代田区,神田須田町二丁目１３番１２,,"1,750,000 ","1,650,000 ",6.1 ,186 ,,1,1.5,店舗兼事務所,SRC,8F,2B,高層の事務所ビルが建ち並ぶ商業地域,区道,北,15,,側道,東,ガス,水道,下水道,秋葉原,,110 ,商業,防火,80 ,800 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,10 ,区部,都心５区,千代田区,外神田三丁目１０番１外,外神田３－１４－９,"5,630,000 ","5,200,000 ",8.3 ,165 ,,1,1,店舗兼事務所,SRC,8F,2B,中高層の店舗、事務所ビルが建ち並ぶ商業地域,都道,東,36,,,,ガス,水道,下水道,秋葉原,,350 ,商業,防火,80 ,700 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,11 ,区部,都心５区,千代田区,西神田一丁目４番２外,西神田１－３－６,"3,410,000 ","3,180,000 ",7.2 ,206 ,,1,1.5,事務所,SRC,9F,,中高層の店舗兼事務所ビル等が建ち並ぶ商業地域,都道,南西,27,,側道,北西,ガス,水道,下水道,水道橋,,300 ,商業,防火,80 ,700 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,12 ,区部,都心５区,千代田区,内神田二丁目２３番６,内神田２－１１－６,"3,820,000 ","3,540,000 ",7.9 ,194 ,,1,2,事務所、住宅兼駐車場等,SRC,8F,1B,中高層の店舗、事務所ビルが建ち並ぶ商業地域,都道,西,22,,,,ガス,水道,下水道,神田,,320 ,商業,防火,80 ,700 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,13 ,区部,都心５区,千代田区,神田駿河台一丁目８番３外,,"4,020,000 ","3,720,000 ",8.1 ,122 ,,1,1.5,店舗、事務所兼住宅,RC,6F,,大学、店舗兼事務所ビル等が建ち並ぶ商業地域,区道,北西,22,,,,ガス,水道,下水道,御茶ノ水,,240 ,商業,防火,80 ,600 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,14 ,区部,都心５区,千代田区,神田美倉町１０番１,,"1,610,000 ","1,510,000 ",6.6 ,514 ,,2,1,事務所,SRC,7F,1B,中高層の店舗、事務所ビル等が建ち並ぶ商業地域,区道,北,11,,背面道,,ガス,水道,下水道,神田,,450 ,商業,防火,80 ,600 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,15 ,区部,都心５区,千代田区,神田小川町三丁目６番５外,,"5,190,000 ","4,870,000 ",6.6 ,222 ,,1,2,店舗兼住宅,SRC,8F,1B,主に中高層のスポーツ用品店が建ち並ぶ商業地域,都道,南西,36,,,,ガス,水道,下水道,小川町,,300 ,商業,防火,80 ,700 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,16 ,区部,都心５区,千代田区,神田和泉町１番２９２,,"924,000 ","873,000 ",5.8 ,120 ,,1,2,倉庫、事務所兼住宅,RC,6F,,中層事務所、共同住宅、店舗が混在する商業地域,区道,南,7,,,,ガス,水道,下水道,秋葉原,,400 ,商業,防火,80 ,500 ,,,,,,,,,,,
○,13101 ,28 ,千代田,5 ,17 ,区部,都心５区,千代田区,神田駿河台二丁目１番４７,,"1,780,000 ","1,680,000 ",6.0 ,438 ,,1,1,事務所,SRC,7F,1B,中高層の事務所のほか学校、病院もある商業地域,区道,北西,8,,,,ガス,水道,下水道,御茶ノ水,,190 ,商業,防火,80 ,500 ,,,,,,,*,13101 ,5 ,26 ,"1,730,000 "
