"年度","未就学児","学齢児","18歳以上","不明"
"2013","397","116","57","16"
"2014","897","171","79","28"
"2015","1408","381","123","19"
"2016","1433","490","137","8"
"2017","1464","836","214","18"

"平成30年度港区行政資料集　発達支援センター発達及び発達障害相談者数","Ver201803",,,
