名称,郵便番号,電話,所在地,緯度,経度,座標系
けやき荘,-,-,新宿区内,-,-,JGD2011
淀橋荘,-,-,新宿区内,-,-,JGD2011
しのばず荘,110-0007,3828-0740,台東区上野公園17-9,35.717237,139.778587,JGD2011
さざなみ苑,135-0052,3649-7267,江東区潮見1-29-23,35.673078,139.816968,JGD2011
新塩崎荘,135-0043,3647-8835,江東区塩浜2-5-15,35.662182,139.804966,JGD2011
塩崎荘,135-0043,3615-1737,江東区塩浜2-5-16,35.662313,139.805408,JGD2011
浜川荘,140-0012,3761-4460,品川区勝島1-9-11,35.597849,139.742919,JGD2011
千駄ヶ谷荘,151-0051,5363-6155,渋谷区千駄ヶ谷5-34-3,35.687843,139.703583,JGD2011
本木荘,123-0852,3848-1077,足立区関原1-4-29,35.761743,139.789717,JGD2011
ふじみ,-,-,板橋区内,-,-,JGD2011
東が丘荘,-,-,目黒区内,-,-,JGD2011
