"SSID","地区名","設置数"
"Minato_City_Wi-Fi","芝地区","11"
"Minato_City_Wi-Fi","麻布地区","7"
"Minato_City_Wi-Fi","赤坂地区","9"
"Minato_City_Wi-Fi","高輪地区","3"
"Minato_City_Wi-Fi","芝浦港南地区","10"
"Minato_City_Wi-Fi","合計","40"
"Minato_City_Wi-Fi_02","芝地区","22"
"Minato_City_Wi-Fi_02","麻布地区","17"
"Minato_City_Wi-Fi_02","赤坂地区","14"
"Minato_City_Wi-Fi_02","高輪地区","17"
"Minato_City_Wi-Fi_02","芝浦港南地区","21"
"Minato_City_Wi-Fi_02","その他","1"
"Minato_City_Wi-Fi_02","合計","92"

"令和5年度港区行政資料集　Minato City Wi-Fi 設置場所","Ver202304",
