町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5126,4198,3985,8183
方南2丁目,3165,2502,2764,5266
和泉1丁目,3974,2958,2871,5829
和泉2丁目,4322,3739,3659,7398
和泉3丁目,3776,3093,3443,6536
和泉4丁目,4906,4203,4478,8681
下高井戸1丁目,3326,2179,2395,4574
下高井戸2丁目,1958,1476,1533,3009
下高井戸3丁目,2121,1884,1982,3866
下高井戸4丁目,2959,2653,2797,5450
下高井戸5丁目,1646,1452,1584,3036
永福1丁目,1935,1590,1681,3271
永福2丁目,2479,2251,2558,4809
永福3丁目,2344,1890,2104,3994
永福4丁目,2159,1738,1935,3673
浜田山1丁目,2035,1817,2105,3922
浜田山2丁目,1366,1195,1368,2563
浜田山3丁目,2422,1974,2466,4440
浜田山4丁目,2907,2663,3181,5844
和田1丁目,5407,4298,4675,8973
和田2丁目,2482,2051,2173,4224
和田3丁目,4050,3159,3340,6499
堀ノ内1丁目,2526,2060,2246,4306
堀ノ内2丁目,4072,3701,3794,7495
堀ノ内3丁目,4431,3461,3664,7125
松ノ木1丁目,819,846,743,1589
松ノ木2丁目,1486,1319,1431,2750
松ノ木3丁目,1876,1495,1544,3039
大宮1丁目,1179,997,1023,2020
大宮2丁目,854,696,839,1535
梅里1丁目,2227,1563,1651,3214
梅里2丁目,3308,2407,2685,5092
高円寺南1丁目,4428,3222,3191,6413
高円寺南2丁目,5086,3421,3674,7095
高円寺南3丁目,5125,3844,3675,7519
高円寺南4丁目,2948,2046,2076,4122
高円寺南5丁目,4170,3398,3148,6546
高円寺北1丁目,1584,1313,1203,2516
高円寺北2丁目,3093,2223,2032,4255
高円寺北3丁目,4055,3020,2759,5779
高円寺北4丁目,2345,1799,1756,3555
阿佐谷南1丁目,4865,3804,3988,7792
阿佐谷南2丁目,2453,1798,1780,3578
阿佐谷南3丁目,5076,3665,4082,7747
阿佐谷北1丁目,3008,2204,2421,4625
阿佐谷北2丁目,2910,2158,2264,4422
阿佐谷北3丁目,2432,1950,2048,3998
阿佐谷北4丁目,2491,2002,2116,4118
阿佐谷北5丁目,2225,1895,2009,3904
阿佐谷北6丁目,1822,1656,1730,3386
天沼1丁目,2457,2134,1895,4029
天沼2丁目,3124,2593,2684,5277
天沼3丁目,3957,2954,3147,6101
本天沼1丁目,1824,1618,1560,3178
本天沼2丁目,2450,2303,2285,4588
本天沼3丁目,1868,1843,1938,3781
成田西1丁目,1306,1342,1454,2796
成田西2丁目,1420,1506,1572,3078
成田西3丁目,992,1086,1145,2231
成田西4丁目,441,466,469,935
成田東1丁目,2451,2229,2374,4603
成田東2丁目,1703,1870,1947,3817
成田東3丁目,1876,1643,1676,3319
成田東4丁目,3062,2702,3037,5739
成田東5丁目,3535,2732,3144,5876
荻窪1丁目,2635,2642,2776,5418
荻窪2丁目,2162,1912,2089,4001
荻窪3丁目,3706,3415,3648,7063
荻窪4丁目,2655,1938,2338,4276
荻窪5丁目,3098,2215,2628,4843
南荻窪1丁目,1912,1844,1997,3841
南荻窪2丁目,1910,1960,2055,4015
南荻窪3丁目,1652,1475,1565,3040
南荻窪4丁目,2000,1642,1836,3478
上荻1丁目,1150,768,921,1689
上荻2丁目,3179,2505,2503,5008
上荻3丁目,1756,1668,1781,3449
上荻4丁目,1997,1636,1842,3478
西荻南1丁目,1411,1167,1344,2511
西荻南2丁目,2577,1690,2218,3908
