町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5089,4174,3962,8136
方南2丁目,3172,2522,2764,5286
和泉1丁目,3970,2949,2883,5832
和泉2丁目,4300,3723,3663,7386
和泉3丁目,3786,3099,3442,6541
和泉4丁目,4880,4189,4463,8652
下高井戸1丁目,3336,2187,2402,4589
下高井戸2丁目,1957,1469,1536,3005
下高井戸3丁目,2113,1881,1976,3857
下高井戸4丁目,3069,2673,2869,5542
下高井戸5丁目,1637,1447,1580,3027
永福1丁目,1940,1589,1682,3271
永福2丁目,2466,2258,2545,4803
永福3丁目,2339,1882,2096,3978
永福4丁目,2169,1739,1934,3673
浜田山1丁目,2032,1813,2092,3905
浜田山2丁目,1361,1183,1366,2549
浜田山3丁目,2426,1978,2472,4450
浜田山4丁目,2899,2651,3170,5821
和田1丁目,5416,4301,4662,8963
和田2丁目,2507,2072,2201,4273
和田3丁目,4034,3160,3331,6491
堀ノ内1丁目,2518,2057,2245,4302
堀ノ内2丁目,4071,3680,3809,7489
堀ノ内3丁目,4437,3475,3657,7132
松ノ木1丁目,819,846,741,1587
松ノ木2丁目,1485,1318,1438,2756
松ノ木3丁目,1875,1506,1536,3042
大宮1丁目,1168,990,1012,2002
大宮2丁目,837,689,827,1516
梅里1丁目,2209,1550,1638,3188
梅里2丁目,3319,2420,2679,5099
高円寺南1丁目,4439,3228,3197,6425
高円寺南2丁目,5131,3439,3704,7143
高円寺南3丁目,5133,3850,3654,7504
高円寺南4丁目,2945,2059,2059,4118
高円寺南5丁目,4184,3412,3152,6564
高円寺北1丁目,1593,1321,1207,2528
高円寺北2丁目,3079,2218,2021,4239
高円寺北3丁目,4055,3042,2735,5777
高円寺北4丁目,2368,1817,1758,3575
阿佐谷南1丁目,4859,3799,3974,7773
阿佐谷南2丁目,2443,1782,1776,3558
阿佐谷南3丁目,5101,3672,4098,7770
阿佐谷北1丁目,3001,2199,2412,4611
阿佐谷北2丁目,2901,2159,2248,4407
阿佐谷北3丁目,2426,1949,2049,3998
阿佐谷北4丁目,2512,2023,2138,4161
阿佐谷北5丁目,2218,1903,1995,3898
阿佐谷北6丁目,1824,1663,1727,3390
天沼1丁目,2451,2125,1884,4009
天沼2丁目,3119,2576,2681,5257
天沼3丁目,3997,2974,3160,6134
本天沼1丁目,1820,1621,1569,3190
本天沼2丁目,2456,2311,2273,4584
本天沼3丁目,1864,1847,1934,3781
成田西1丁目,1298,1339,1446,2785
成田西2丁目,1420,1509,1573,3082
成田西3丁目,987,1089,1146,2235
成田西4丁目,436,457,463,920
成田東1丁目,2454,2235,2375,4610
成田東2丁目,1691,1851,1938,3789
成田東3丁目,1869,1634,1687,3321
成田東4丁目,3057,2696,3032,5728
成田東5丁目,3519,2727,3123,5850
荻窪1丁目,2636,2642,2774,5416
荻窪2丁目,2165,1908,2090,3998
荻窪3丁目,3718,3421,3652,7073
荻窪4丁目,2681,1960,2353,4313
荻窪5丁目,3097,2206,2628,4834
南荻窪1丁目,1909,1846,1994,3840
南荻窪2丁目,1906,1950,2044,3994
南荻窪3丁目,1659,1477,1580,3057
南荻窪4丁目,1989,1634,1832,3466
上荻1丁目,1149,777,914,1691
上荻2丁目,3156,2496,2492,4988
上荻3丁目,1756,1664,1781,3445
上荻4丁目,1983,1620,1832,3452
西荻南1丁目,1413,1164,1345,2509
西荻南2丁目,2593,1704,2226,3930
西荻南3丁目,1597,1147,1340,2487
西荻南4丁目,1638,1357,1585,2942
西荻北1丁目,1409,1180,1190,2370
西荻北2丁目,2477,1948,2431,4379
西荻北3丁目,3050,2130,2670,4800
西荻北4丁目,2355,1713,2028,3741
西荻北5丁目,1119,919,1039,1958
今川1丁目,1143,1141,1259,2400
今川2丁目,867,965,989,1954
今川3丁目,1414,1382,1475,2857
今川4丁目,1156,1170,1235,2405
清水1丁目,1894,1494,1746,3240
清水2丁目,969,921,1037,1958
清水3丁目,1770,1724,1818,3542
桃井1丁目,2198,1912,2014,3926
桃井2丁目,1298,1233,1419,2652
桃井3丁目,1210,1236,1451,2687
桃井4丁目,1448,1242,1319,2561
井草1丁目,2566,2216,2423,4639
井草2丁目,2975,2871,3109,5980
井草3丁目,1612,1254,1388,2642
井草4丁目,1233,959,1021,1980
井草5丁目,1151,998,1021,2019
下井草1丁目,1876,1595,1672,3267
下井草2丁目,2180,1975,2150,4125
下井草3丁目,2601,2262,2494,4756
下井草4丁目,2027,1796,1941,3737
下井草5丁目,1466,1170,1295,2465
上井草1丁目,1933,1679,1883,3562
上井草2丁目,2721,2518,2648,5166
上井草3丁目,1944,2041,2076,4117
上井草4丁目,1363,1413,1557,2970
善福寺1丁目,2006,1889,2154,4043
善福寺2丁目,1912,1736,2041,3777
善福寺3丁目,995,983,1097,2080
善福寺4丁目,1053,1129,1196,2325
松庵1丁目,1869,1752,2030,3782
松庵2丁目,1455,1213,1454,2667
松庵3丁目,2710,1998,2354,4352
宮前1丁目,947,829,916,1745
宮前2丁目,1659,1721,1874,3595
宮前3丁目,2625,2561,2653,5214
宮前4丁目,2322,2183,2361,4544
宮前5丁目,2073,1923,2095,4018
久我山1丁目,913,729,858,1587
久我山2丁目,1421,1239,1439,2678
久我山3丁目,3007,2399,2814,5213
久我山4丁目,2647,2363,2793,5156
久我山5丁目,2995,2545,2971,5516
高井戸東1丁目,1806,1781,2010,3791
高井戸東2丁目,2191,1825,2058,3883
高井戸東3丁目,3837,3447,3987,7434
高井戸東4丁目,2587,2332,2551,4883
高井戸西1丁目,3506,2328,3214,5542
高井戸西2丁目,1541,1401,1687,3088
