町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5144,4219,4002,8221
方南2丁目,3142,2494,2756,5250
和泉1丁目,3947,2939,2882,5821
和泉2丁目,4290,3725,3668,7393
和泉3丁目,3800,3094,3489,6583
和泉4丁目,4847,4175,4429,8604
下高井戸1丁目,3315,2174,2413,4587
下高井戸2丁目,1943,1465,1528,2993
下高井戸3丁目,2131,1890,1988,3878
下高井戸4丁目,3071,2712,2859,5571
下高井戸5丁目,1650,1464,1592,3056
永福1丁目,1926,1580,1697,3277
永福2丁目,2475,2241,2545,4786
永福3丁目,2372,1918,2136,4054
永福4丁目,2149,1726,1934,3660
浜田山1丁目,2028,1801,2125,3926
浜田山2丁目,1369,1202,1365,2567
浜田山3丁目,2407,1977,2443,4420
浜田山4丁目,2919,2678,3173,5851
和田1丁目,5371,4264,4668,8932
和田2丁目,2440,2041,2168,4209
和田3丁目,4053,3173,3346,6519
堀ノ内1丁目,2540,2072,2262,4334
堀ノ内2丁目,4073,3695,3815,7510
堀ノ内3丁目,4401,3462,3624,7086
松ノ木1丁目,808,830,736,1566
松ノ木2丁目,1491,1334,1444,2778
松ノ木3丁目,1879,1499,1546,3045
大宮1丁目,1193,1022,1029,2051
大宮2丁目,850,696,832,1528
梅里1丁目,2244,1587,1672,3259
梅里2丁目,3313,2406,2702,5108
高円寺南1丁目,4438,3230,3196,6426
高円寺南2丁目,5028,3430,3639,7069
高円寺南3丁目,5093,3833,3672,7505
高円寺南4丁目,2935,2048,2073,4121
高円寺南5丁目,4135,3377,3136,6513
高円寺北1丁目,1562,1297,1191,2488
高円寺北2丁目,3075,2214,2026,4240
高円寺北3丁目,4007,2983,2731,5714
高円寺北4丁目,2280,1755,1739,3494
阿佐谷南1丁目,4818,3751,3980,7731
阿佐谷南2丁目,2461,1801,1782,3583
阿佐谷南3丁目,5072,3679,4103,7782
阿佐谷北1丁目,2984,2182,2405,4587
阿佐谷北2丁目,2866,2130,2260,4390
阿佐谷北3丁目,2426,1936,2051,3987
阿佐谷北4丁目,2506,2016,2127,4143
阿佐谷北5丁目,2193,1886,1980,3866
阿佐谷北6丁目,1810,1650,1737,3387
天沼1丁目,2460,2135,1899,4034
天沼2丁目,3087,2571,2671,5242
天沼3丁目,3925,2953,3128,6081
本天沼1丁目,1826,1623,1565,3188
本天沼2丁目,2455,2328,2285,4613
本天沼3丁目,1859,1834,1943,3777
成田西1丁目,1306,1326,1450,2776
成田西2丁目,1415,1505,1578,3083
成田西3丁目,992,1097,1150,2247
成田西4丁目,442,456,465,921
成田東1丁目,2435,2229,2354,4583
成田東2丁目,1700,1870,1957,3827
成田東3丁目,1858,1641,1662,3303
成田東4丁目,3076,2720,3024,5744
成田東5丁目,3521,2725,3139,5864
荻窪1丁目,2643,2649,2783,5432
荻窪2丁目,2156,1915,2085,4000
荻窪3丁目,3694,3390,3640,7030
荻窪4丁目,2617,1909,2354,4263
荻窪5丁目,3106,2246,2638,4884
南荻窪1丁目,1901,1837,1995,3832
南荻窪2丁目,1902,1953,2071,4024
南荻窪3丁目,1652,1468,1566,3034
南荻窪4丁目,1939,1621,1804,3425
上荻1丁目,1134,765,911,1676
上荻2丁目,3178,2527,2494,5021
上荻3丁目,1683,1557,1688,3245
上荻4丁目,2002,1632,1838,3470
西荻南1丁目,1405,1171,1350,2521
西荻南2丁目,2585,1695,2225,3920
西荻南3丁目,1603,1137,1351,2488
西荻南4丁目,1636,1344,1594,2938
西荻北1丁目,1418,1188,1211,2399
西荻北2丁目,2471,1932,2435,4367
西荻北3丁目,3063,2143,2701,4844
西荻北4丁目,2347,1730,2011,3741
西荻北5丁目,1126,933,1045,1978
今川1丁目,1134,1150,1243,2393
今川2丁目,855,963,981,1944
今川3丁目,1413,1382,1489,2871
今川4丁目,1144,1170,1234,2404
清水1丁目,1919,1499,1766,3265
清水2丁目,968,928,1042,1970
清水3丁目,1779,1731,1806,3537
桃井1丁目,2183,1890,2005,3895
桃井2丁目,1306,1246,1430,2676
桃井3丁目,1207,1238,1434,2672
桃井4丁目,1456,1250,1315,2565
井草1丁目,2552,2223,2421,4644
井草2丁目,2973,2899,3106,6005
井草3丁目,1590,1212,1394,2606
井草4丁目,1225,951,1015,1966
井草5丁目,1136,987,1011,1998
下井草1丁目,1869,1601,1656,3257
下井草2丁目,2181,1989,2145,4134
下井草3丁目,2580,2254,2491,4745
下井草4丁目,2029,1804,1952,3756
下井草5丁目,1474,1171,1301,2472
上井草1丁目,1966,1703,1909,3612
上井草2丁目,2699,2505,2645,5150
上井草3丁目,1943,2024,2072,4096
上井草4丁目,1362,1424,1563,2987
善福寺1丁目,2028,1906,2182,4088
善福寺2丁目,1899,1768,2036,3804
善福寺3丁目,994,974,1095,2069
善福寺4丁目,1046,1120,1196,2316
松庵1丁目,1850,1727,2005,3732
松庵2丁目,1441,1210,1437,2647
松庵3丁目,2696,2000,2331,4331
宮前1丁目,969,854,921,1775
宮前2丁目,1659,1716,1878,3594
宮前3丁目,2597,2531,2633,5164
宮前4丁目,2319,2198,2367,4565
宮前5丁目,2036,1912,2078,3990
久我山1丁目,911,724,854,1578
久我山2丁目,1387,1208,1403,2611
久我山3丁目,3002,2411,2816,5227
久我山4丁目,2659,2386,2807,5193
久我山5丁目,2994,2543,2966,5509
高井戸東1丁目,1817,1795,2015,3810
高井戸東2丁目,2156,1813,2031,3844
高井戸東3丁目,3847,3448,4004,7452
