町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5171,4228,4009,8237
方南2丁目,3145,2499,2745,5244
和泉1丁目,3961,2946,2881,5827
和泉2丁目,4310,3732,3667,7399
和泉3丁目,3809,3096,3493,6589
和泉4丁目,4915,4200,4472,8672
下高井戸1丁目,3331,2178,2417,4595
下高井戸2丁目,1958,1468,1536,3004
下高井戸3丁目,2133,1887,1988,3875
下高井戸4丁目,2973,2665,2801,5466
下高井戸5丁目,1658,1463,1592,3055
永福1丁目,1938,1591,1691,3282
永福2丁目,2476,2238,2551,4789
永福3丁目,2374,1917,2126,4043
永福4丁目,2145,1720,1923,3643
浜田山1丁目,2034,1811,2114,3925
浜田山2丁目,1373,1208,1372,2580
浜田山3丁目,2402,1971,2441,4412
浜田山4丁目,2936,2680,3191,5871
和田1丁目,5405,4279,4681,8960
和田2丁目,2453,2042,2162,4204
和田3丁目,4076,3185,3356,6541
堀ノ内1丁目,2542,2073,2260,4333
堀ノ内2丁目,4077,3689,3815,7504
堀ノ内3丁目,4430,3482,3641,7123
松ノ木1丁目,816,847,738,1585
松ノ木2丁目,1486,1329,1440,2769
松ノ木3丁目,1880,1501,1546,3047
大宮1丁目,1197,1019,1032,2051
大宮2丁目,850,697,836,1533
梅里1丁目,2250,1586,1671,3257
梅里2丁目,3317,2404,2696,5100
高円寺南1丁目,4445,3234,3194,6428
高円寺南2丁目,5046,3427,3649,7076
高円寺南3丁目,5134,3845,3695,7540
高円寺南4丁目,2955,2061,2081,4142
高円寺南5丁目,4149,3381,3136,6517
高円寺北1丁目,1573,1303,1192,2495
高円寺北2丁目,3091,2219,2035,4254
高円寺北3丁目,4023,2993,2744,5737
高円寺北4丁目,2310,1777,1746,3523
阿佐谷南1丁目,4834,3762,3974,7736
阿佐谷南2丁目,2454,1794,1777,3571
阿佐谷南3丁目,5090,3688,4098,7786
阿佐谷北1丁目,2994,2180,2411,4591
阿佐谷北2丁目,2873,2130,2257,4387
阿佐谷北3丁目,2441,1937,2067,4004
