町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5143,4211,3985,8196
方南2丁目,3141,2493,2739,5232
和泉1丁目,3958,2956,2866,5822
和泉2丁目,4329,3742,3670,7412
和泉3丁目,3787,3086,3455,6541
和泉4丁目,4901,4207,4471,8678
下高井戸1丁目,3323,2177,2394,4571
下高井戸2丁目,1957,1464,1542,3006
下高井戸3丁目,2129,1886,1985,3871
下高井戸4丁目,2956,2655,2793,5448
下高井戸5丁目,1647,1456,1587,3043
永福1丁目,1944,1596,1681,3277
永福2丁目,2472,2241,2545,4786
永福3丁目,2353,1900,2114,4014
永福4丁目,2156,1744,1934,3678
浜田山1丁目,2035,1815,2113,3928
浜田山2丁目,1364,1193,1367,2560
浜田山3丁目,2417,1981,2460,4441
浜田山4丁目,2917,2671,3183,5854
和田1丁目,5435,4307,4692,8999
和田2丁目,2474,2049,2168,4217
和田3丁目,4056,3162,3345,6507
堀ノ内1丁目,2539,2073,2260,4333
堀ノ内2丁目,4080,3700,3804,7504
堀ノ内3丁目,4443,3482,3663,7145
松ノ木1丁目,814,844,740,1584
松ノ木2丁目,1480,1315,1430,2745
松ノ木3丁目,1884,1498,1549,3047
大宮1丁目,1190,1010,1028,2038
大宮2丁目,853,696,841,1537
梅里1丁目,2243,1580,1659,3239
梅里2丁目,3302,2396,2691,5087
高円寺南1丁目,4435,3229,3192,6421
高円寺南2丁目,5080,3431,3661,7092
高円寺南3丁目,5115,3832,3675,7507
高円寺南4丁目,2959,2058,2083,4141
高円寺南5丁目,4178,3394,3149,6543
高円寺北1丁目,1582,1308,1197,2505
高円寺北2丁目,3084,2221,2027,4248
高円寺北3丁目,4057,3019,2764,5783
高円寺北4丁目,2324,1786,1743,3529
阿佐谷南1丁目,4863,3787,3997,7784
阿佐谷南2丁目,2449,1794,1778,3572
阿佐谷南3丁目,5080,3674,4085,7759
阿佐谷北1丁目,3010,2201,2428,4629
阿佐谷北2丁目,2899,2150,2268,4418
阿佐谷北3丁目,2429,1946,2044,3990
阿佐谷北4丁目,2492,1998,2116,4114
