町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5064,4167,3944,8111
方南2丁目,3169,2518,2751,5269
和泉1丁目,3971,2944,2884,5828
和泉2丁目,4301,3731,3655,7386
和泉3丁目,3780,3097,3428,6525
和泉4丁目,4852,4153,4452,8605
下高井戸1丁目,3348,2177,2417,4594
下高井戸2丁目,1934,1451,1528,2979
下高井戸3丁目,2116,1885,1986,3871
下高井戸4丁目,3041,2646,2849,5495
下高井戸5丁目,1636,1444,1583,3027
永福1丁目,1958,1604,1689,3293
永福2丁目,2470,2262,2551,4813
永福3丁目,2315,1874,2091,3965
永福4丁目,2184,1758,1940,3698
浜田山1丁目,2041,1814,2097,3911
浜田山2丁目,1364,1185,1359,2544
浜田山3丁目,2444,1977,2485,4462
浜田山4丁目,2896,2655,3167,5822
和田1丁目,5412,4302,4651,8953
和田2丁目,2518,2095,2202,4297
和田3丁目,4065,3185,3344,6529
堀ノ内1丁目,2537,2079,2251,4330
堀ノ内2丁目,4085,3695,3802,7497
堀ノ内3丁目,4437,3478,3645,7123
松ノ木1丁目,831,852,759,1611
松ノ木2丁目,1482,1318,1431,2749
松ノ木3丁目,1882,1504,1541,3045
大宮1丁目,1156,969,1004,1973
大宮2丁目,843,693,829,1522
梅里1丁目,2205,1545,1636,3181
梅里2丁目,3317,2427,2674,5101
高円寺南1丁目,4454,3237,3184,6421
高円寺南2丁目,5148,3461,3692,7153
高円寺南3丁目,5164,3866,3665,7531
高円寺南4丁目,2959,2067,2057,4124
高円寺南5丁目,4192,3418,3146,6564
高円寺北1丁目,1590,1315,1209,2524
高円寺北2丁目,3110,2222,2030,4252
高円寺北3丁目,4071,3065,2746,5811
高円寺北4丁目,2370,1827,1764,3591
阿佐谷南1丁目,4864,3802,3978,7780
阿佐谷南2丁目,2443,1788,1779,3567
阿佐谷南3丁目,5132,3696,4130,7826
阿佐谷北1丁目,3000,2203,2411,4614
阿佐谷北2丁目,2904,2159,2247,4406
阿佐谷北3丁目,2434,1955,2049,4004
阿佐谷北4丁目,2501,2005,2144,4149
阿佐谷北5丁目,2218,1900,1990,3890
阿佐谷北6丁目,1815,1663,1717,3380
天沼1丁目,2474,2123,1907,4030
天沼2丁目,3145,2587,2700,5287
天沼3丁目,3988,2969,3183,6152
本天沼1丁目,1833,1628,1567,3195
本天沼2丁目,2445,2305,2272,4577
本天沼3丁目,1854,1842,1927,3769
成田西1丁目,1309,1348,1463,2811
成田西2丁目,1421,1508,1572,3080
成田西3丁目,981,1078,1141,2219
成田西4丁目,440,460,463,923
成田東1丁目,2457,2245,2365,4610
成田東2丁目,1693,1843,1946,3789
成田東3丁目,1860,1626,1680,3306
成田東4丁目,3052,2708,3021,5729
成田東5丁目,3531,2737,3127,5864
荻窪1丁目,2626,2642,2765,5407
荻窪2丁目,2179,1910,2093,4003
荻窪3丁目,3708,3415,3639,7054
荻窪4丁目,2692,1969,2347,4316
荻窪5丁目,3119,2234,2632,4866
南荻窪1丁目,1920,1857,1996,3853
南荻窪2丁目,1909,1951,2044,3995
南荻窪3丁目,1650,1476,1572,3048
南荻窪4丁目,1983,1623,1831,3454
上荻1丁目,1158,785,916,1701
上荻2丁目,3169,2497,2522,5019
上荻3丁目,1771,1668,1799,3467
上荻4丁目,1986,1622,1827,3449
西荻南1丁目,1403,1155,1343,2498
西荻南2丁目,2597,1699,2230,3929
西荻南3丁目,1597,1152,1336,2488
西荻南4丁目,1639,1358,1576,2934
西荻北1丁目,1399,1171,1169,2340
西荻北2丁目,2477,1947,2427,4374
西荻北3丁目,3051,2129,2661,4790
西荻北4丁目,2348,1708,2027,3735
西荻北5丁目,1107,912,1036,1948
今川1丁目,1138,1126,1243,2369
今川2丁目,859,955,981,1936
今川3丁目,1423,1390,1487,2877
今川4丁目,1151,1162,1229,2391
清水1丁目,1903,1510,1742,3252
清水2丁目,969,916,1036,1952
清水3丁目,1769,1723,1813,3536
桃井1丁目,2166,1886,1996,3882
桃井2丁目,1308,1243,1436,2679
