町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5160,4220,3993,8213
方南2丁目,3138,2499,2738,5237
和泉1丁目,3959,2956,2867,5823
和泉2丁目,4329,3740,3676,7416
和泉3丁目,3802,3087,3477,6564
和泉4丁目,4895,4201,4467,8668
下高井戸1丁目,3322,2172,2405,4577
下高井戸2丁目,1960,1470,1538,3008
下高井戸3丁目,2134,1890,1992,3882
下高井戸4丁目,2968,2665,2800,5465
下高井戸5丁目,1651,1461,1585,3046
永福1丁目,1938,1589,1683,3272
永福2丁目,2472,2236,2553,4789
永福3丁目,2362,1915,2115,4030
永福4丁目,2151,1733,1941,3674
浜田山1丁目,2031,1808,2108,3916
浜田山2丁目,1373,1205,1371,2576
浜田山3丁目,2404,1978,2453,4431
浜田山4丁目,2934,2682,3189,5871
和田1丁目,5418,4291,4684,8975
和田2丁目,2454,2044,2161,4205
和田3丁目,4073,3175,3360,6535
堀ノ内1丁目,2545,2073,2264,4337
堀ノ内2丁目,4089,3703,3813,7516
堀ノ内3丁目,4438,3485,3654,7139
松ノ木1丁目,814,846,735,1581
松ノ木2丁目,1480,1321,1437,2758
松ノ木3丁目,1879,1498,1542,3040
大宮1丁目,1201,1018,1030,2048
大宮2丁目,850,697,837,1534
梅里1丁目,2243,1584,1662,3246
梅里2丁目,3306,2397,2694,5091
高円寺南1丁目,4427,3231,3184,6415
高円寺南2丁目,5052,3420,3650,7070
高円寺南3丁目,5128,3833,3691,7524
高円寺南4丁目,2951,2059,2081,4140
高円寺南5丁目,4172,3398,3144,6542
高円寺北1丁目,1581,1311,1194,2505
高円寺北2丁目,3095,2226,2025,4251
高円寺北3丁目,4027,2999,2743,5742
高円寺北4丁目,2314,1780,1745,3525
阿佐谷南1丁目,4853,3778,3977,7755
阿佐谷南2丁目,2453,1791,1782,3573
阿佐谷南3丁目,5085,3681,4094,7775
阿佐谷北1丁目,3006,2195,2418,4613
阿佐谷北2丁目,2884,2130,2263,4393
阿佐谷北3丁目,2443,1944,2058,4002
阿佐谷北4丁目,2499,2010,2117,4127
