大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
税務,税務,東京上野税務署,池之端1丁目2番22号　上野合同庁舎,03-3821-9001,,139.7686653,35.70962441
税務,税務,浅草税務署,蔵前2丁目8番12号,03-3862-7111,,139.7924045,35.70302561
税務,税務,台東都税事務所,雷門1丁目6番1号,03-3841-1271,,139.7921639,35.70986492
消防,消防,日本堤消防署,千束4丁目1番1号,03-3875-0119,,139.7981124,35.7233337
警察,警察,上野警察署,東上野4丁目2番4号,03-3847-0110,,139.7792946,35.71229446
警察,警察,浅草警察署,浅草4丁目47番11号,03-3871-0110,,139.7980128,35.71890426
警察,警察,蔵前警察署,蔵前1丁目3番24号,03-3864-0110,,139.7900249,35.7011058
消防,消防,上野消防署,東上野5丁目2番9号,03-3841-0119,,139.7810845,35.71205452
消防,消防,浅草消防署,駒形1丁目5番8号,03-3847-0119,,139.793974,35.70750518
法務,法務,浅草公証役場,雷門2丁目4番8号　あいおい損保台東ビル2F,03-3844-0906,,139.7958337,35.70928503
法務,法務,東京法務局台東出張所（登記所）,台東1丁目26番2号,03-3831-0694,,139.7771953,35.70161548
法務,法務,上野公証役場,東上野1丁目7番2号　富田ビル,03-3831-3022,,139.7797049,35.70736495
警察,警察,警視庁第六方面本部,台東区東浅草2丁目27番12号,03-3581-4321,,139.7978665,35.72453376
警察,警察,下谷警察署,下谷3丁目15番9号,03-3872-0110,,139.7879967,35.72585568
