大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
自転車置き場,自転車置き場,上野駅南自転車置場,上野6丁目7番　首都高出口下,,,139.7765049,35.71025458
自転車置き場,自転車置き場,上野駅地下鉄本社前自転車置場,東上野3丁目19番地先,,,139.7777047,35.71160448
自転車置き場,自転車置き場,池之端自転車置場,池之端1丁目1番　上野区民館敷地内,,,139.7691553,35.70942445
自転車置き場,自転車置き場,厩橋自転車置場,駒形2丁目1番　春日通り歩道上,,,139.7944242,35.70486545
自転車置き場,自転車置き場,上野駅中央口前自転車置場,上野7丁目1番地先,,,139.7766848,35.71169445
自転車置き場,自転車置き場,隅田公園自転車置場,花川戸1丁目1番地先,,,139.7985331,35.7108449
自転車置き場,自転車置き場,日暮里駅西口南自転車置場,谷中7丁目15番地先,,,139.7709998,35.72718613
自転車置き場,自転車置き場,三ノ輪自転車置場,三ノ輪2丁目15番　浄閑寺横区道,,,139.7923926,35.73050295
自転車置き場,自転車置き場,上野駅浅草口前自転車置場,上野7丁目3番地先,,,139.7777947,35.71226442
自転車置き場,自転車置き場,上野駅東自転車置場,東上野3丁目18番地先,,,139.7770939,35.71106672
自転車置き場,自転車置き場,上野駅西自転車置場,上野6丁目16番地先,,,139.7763413,35.71135937
自転車置き場,自転車置き場,日暮里駅西口北自転車置場,谷中7丁目15番地先,,,139.7702255,35.72790118
