大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
区民館,区民館,浅草橋区民館,浅草橋2丁目8番7号,03-3851-4646,,139.7834753,35.69945588
区民館,区民館,上野桜木会館,上野桜木1丁目6番1号,03-3824-4041,,139.7710949,35.72008356
区民館,区民館,馬道区民館,浅草4丁目48番1号,03-3872-1891,,139.7987528,35.71823439
区民館,区民館,寿区民館,寿1丁目10番12号,03-3842-8654,,139.7890544,35.70731513
区民館,区民館,金杉区民館下谷分館,下谷3丁目14番3号,03-3873-1731,,139.7873534,35.72573346
区民館,区民館,清川区民館,清川1丁目23番8号,03-3876-3566,,139.8029727,35.72572411
区民館,区民館,台東一丁目区民館,台東1丁目25番5号,03-3834-4408,,139.7780753,35.70154551
区民館,区民館,雷門区民館,浅草1丁目37番3号,03-3843-9492,,139.7961333,35.71249472
区民館,区民館,台東区民会館,花川戸2丁目6番5号,03-3843-5391,,139.7988729,35.71432465
区民館,区民館,金杉区民館,下谷3丁目1番30号,03-3876-2653,,139.7856316,35.72322009
区民館,区民館,東上野区民館,東上野3丁目24番6号,03-5807-1520,,139.7796247,35.71125456
区民館,区民館,上野区民館,池之端1丁目1番12号,03-5815-8612,,139.7693153,35.70937446
区民館,区民館,入谷区民館,入谷1丁目15番6号,03-3874-8889,,139.7857838,35.72037389
区民館,区民館,入谷区民館根岸分館（休館中）,根岸2丁目18番17号,03-3876-0040,,139.7777443,35.7248834
公会堂,公会堂,浅草公会堂,浅草1丁目38番6号,03-3844-7491,,139.7951134,35.7126147
区民館,区民館,台東区谷中防災コミュニティセンター,谷中5丁目6番5号,03-3828-9291(西部区民事務所谷中分室）,,139.7663992,35.72545032
区民館,区民館,谷中区民館,台東区谷中5丁目6番5号,03-3828-9292,,139.7661989,35.7254502
