"年度","研究・研修等 延べ件数[件]","研究・研修等 延べ人数[人]","教育相談 相談件数[件]","教育相談 延べ相談件数[件]","教育相談 延べ人数[人]"
"2014","124","4018","253","3606","3606"
"2015","141","4145","262","3479","3479"
"2016","96","4001","317","3542","3542"
"2017","107","4215","325","3419","3419"
"2018","97","3813","294","3316","3316"

"令和元年度港区行政資料集　施設利用状況一覧 教育センター","Ver201903",,,,
