施設名,所在地
緑小学校,墨田区緑2-12-12
外手小学校,墨田区本所2-1-16
二葉小学校,墨田区石原2-1-5
錦糸小学校,墨田区錦糸1-9-12
中和小学校,墨田区菊川1-18-10
言問小学校,墨田区向島5-40-14
小梅小学校,墨田区向島2-4-10
柳島小学校,墨田区横川5-2-30
業平小学校,墨田区業平2-4-8
両国小学校,墨田区両国4-26-6
横川小学校,墨田区東駒形4-18-4
菊川小学校,墨田区立川4-12-15
第三吾嬬小学校,墨田区八広2-36-3
第四吾嬬小学校,墨田区京島3-64-9
第一寺島小学校,墨田区東向島1-16-2
第二寺島小学校,墨田区東向島4-30-2
第三寺島小学校,墨田区東向島6-8-1
曳舟小学校,墨田区京島1-28-2
中川小学校,墨田区立花5-49-4
東吾嬬小学校,墨田区立花4-22-11
押上小学校,墨田区押上3-46-17
八広小学校,墨田区八広5-12-15
隅田小学校,墨田区墨田4-6-5
立花吾嬬の森小学校,墨田区立花1-18-6
梅若小学校,墨田区墨田2-25-1
旧隅田小学校,墨田区墨田5-49-5
墨田中学校,墨田区向島4-25-22
本所中学校,墨田区東駒形3-1-10
両国中学校,墨田区横綱1-8-1
竪川中学校,墨田区亀沢4-11-15
錦糸中学校,墨田区石原4-33-14
吾嬬第二中学校,墨田区八広4-4-4
寺島中学校,墨田区八広1-17-15
文花中学校,墨田区文花1-22-7
桜堤中学校,墨田区堤通2-19-1
吾嬬立花中学校,墨田区立花4-30-18
旧向島中学校,墨田区東向島4-18-9
旧鐘淵中学校,墨田区堤通2-11-1
旧吾嬬第一中学校,墨田区立花5-48-9
緑幼稚園,墨田区緑2-11-5
柳島幼稚園,墨田区横川5-2-30
菊川幼稚園,墨田区立川4-12-15
第三寺島幼稚園,墨田区東向島6-8-1
曳舟幼稚園,墨田区京島1-28-2
八広幼稚園,墨田区八広5-12-15
立花幼稚園,墨田区立花1-25-9
墨田児童会館,墨田区墨田2-30-15
八広児童館,墨田区八広2-38-14
江東橋児童館,墨田区江東橋1-15-4
東向島児童館,墨田区東向島6-6-12
立花児童館,墨田区立花1-27-9
立川児童館,墨田区立川1-5-2
文花児童館,墨田区文花1-32-11
中川児童館,墨田区立花5-18-9
外手児童館,墨田区本所2-6-9
八広はなみずき児童館,墨田区八広4-27-8
さくら橋コミュニティセンター,墨田区向島2-3-8
江東橋保育園分園,墨田区亀沢3-12-5
横川橋保育園,墨田区大平1-27-13
中川保育園,墨田区東墨田2-1-15
花園保育園,墨田区東向島3-16-2
福神橋保育園,墨田区文花1-30-21-101
文花保育園,墨田区文花1-24-5
たちばな保育園,墨田区立花3-21-16
すみだ保育園,墨田区墨田4-22-4-101
八広保育園,墨田区八広3-7-5
東駒形保育園,墨田区東駒形1-6-8
亀沢保育園,墨田区亀沢1-27-5
東あずま保育園,墨田区立花1-27-6-101
おむらい保育園,墨田区文花1-32-1-103
大平保育園,墨田区大平1-13-10
鐘ケ淵北保育園,墨田区堤通2-8-15-109
梅若保育園,墨田区墨田2-38-13
立川保育園,墨田区立川1-5-2
中川南保育園,墨田区立花6-8-2-106
長浦保育園,墨田区八広5-10-1-105
寺島保育園,墨田区東向島1-23-10
水神保育園,墨田区堤通2-6-9-103
しらひげ保育園,墨田区堤通2-5-5-101
押上保育園,墨田区押上2-10-17
あおやぎ保育園,墨田区東向島4-37-17
ひきふね保育園,墨田区八広1-1-18
横川さくら保育園,墨田区横川5-9-1
横川さくら保育園分園,墨田区立花1-23-5-206
いきいきプラザ,墨田区文花1-32-2
墨田区子育て支援総合センター,墨田区京島1-35-9-103
東駒形コミュニティ会館,墨田区東駒形4-14-1
梅若橋コミュニティ会館,墨田区堤通2-9-1
横川コミュニティ会館,墨田区横川5-9-1
すみだふれあいセンター,墨田区緑4-35-6
すみだ厚生会館,墨田区向島1-22-16
すみだ障害者就労支援総合センター,墨田区緑4-25-4
向島ことぶき作業所,墨田区東向島1-17-11
墨田福祉作業所,墨田区八広1-16-22
亀沢のぞみの家,墨田区亀沢4-18-11
ステップ学級,墨田区吾妻橋2-18-12
両国子育てひろば,墨田区横綱1-2-13
文花子育てひろば,墨田区文花1-20-3
