区分,平成23年,平成24年,平成25年,平成26年,平成27年
理容所,240,233,219,219,208
美容所,394,399,409,407,421
クリーニング,321,322,318,296,236
公衆浴場,62,60,53,48,43
旅館業,54,53,53,53,58
興行場,18,22,22,21,20
墓地・納骨堂,66,67,67,67,69
プール,52,50,49,48,47
水道施設,545,549,550,548,550
その他,103,113,117,119,113
計,1855,1868,1857,1826,1765
