区分,平成23年,平成24年,平成25年,平成26年,平成27年
登録犬数,7715,7582,7635,7770,7750
狂犬病予防注射済数,5989,6000,5891,6013,5966
公示犬数,7,9,10,2,2
咬傷被害数,4,2,4,4,8
犬その他動物苦情受理件数,69,120,124,219,218
