業種別,平成23年,平成24年,平成25年,平成26年,平成27年
飲食店営業,4489,4694,4736,4749,4773
喫茶店営業,389,374,370,311,337
菓子製造業,358,421,423,430,441
上記以外の法営業,1415,1482,1492,1499,1483
条例営業等（含行商）,823,914,903,896,886
その他報告営業,5047,5067,5064,5066,5058
ふぐ取扱営業（再掲）,140,259,275,277,265
計,12521,12952,12988,12951,12978
