年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
年・年度平均指数／平成10年平均,1998,,101,101.3,102.5,99.9,100.9,100,104.3,101.3,101.5,99.9,97.5,101.7,99.4,
年・年度平均指数／平成11年平均,1999,,100.7,100.9,102,99.8,100.4,98.4,103.1,101.1,100.8,99.7,98.9,100.9,100.4,
年・年度平均指数／平成12年平均,2000,,100,100,100,100,100,100,100,100,100,100,100,100,100,
年・年度平均指数／平成13年平均,2001,,99.3,99.1,99.4,100.2,99.5,100.6,96.4,97.8,100.7,99.1,101.1,97,99.8,
年・年度平均指数／平成14年平均,2002,,98.4,98,98.6,100.1,99,99.4,92.9,95.6,99.5,98.5,102.1,94.9,100,
年・年度平均指数／平成15年平均,2003,,98.1,97.7,98.4,100,98.4,98.9,90.1,93.8,102.9,98.6,102.7,93.5,100.9,
年・年度平均指数／平成10年度平均,1998,,101,101.3,102.7,99.8,100.7,99.5,104,101.3,101.4,99.6,97.9,101.5,99.7,
年・年度平均指数／平成11年度平均,1999,,100.5,100.7,101.5,99.9,100.3,98.5,102.4,101,100.4,99.8,99.2,100.7,100.3,
年・年度平均指数／平成12年度平均,2000,,99.9,99.9,100.1,100,99.9,100.2,99.1,99.5,100.3,99.9,100.3,99.2,99.9,
年・年度平均指数／平成13年度平均,2001,,98.9,98.6,98.7,100.3,99.4,100.8,95.5,97.2,100.5,98.8,101.3,96.3,99.9,
年・年度平均指数／平成14年度平均,2002,,98.3,97.9,98.8,100,98.8,98.9,92.1,95.1,99.4,98.6,102.4,94.5,100.1,
年・年度平均指数／平成15年度平均,2003,,98.1,97.7,98.5,100,98.3,99,89.4,93.6,103.8,98.4,102.8,93.1,101.3,
前年(度)比(％)／平成10年平均,1998,,0.6,0.7,1.4,0.6,0.1,-1.5,-1.5,1.4,7.1,-1.6,1.9,0.1,0.7,
前年(度)比(％)／平成11年平均,1999,,-0.3,-0.4,-0.5,-0.1,-0.5,-1.6,-1.2,-0.2,-0.7,-0.2,1.4,-0.8,1,
前年(度)比(％)／平成12年平均,2000,,-0.7,-0.9,-1.9,0.2,-0.4,1.6,-3,-1.1,-0.8,0.3,1.1,-0.9,-0.4,
前年(度)比(％)／平成13年平均,2001,,-0.7,-0.9,-0.6,0.2,-0.5,0.6,-3.6,-2.2,0.7,-0.9,1.1,-3,-0.2,
前年(度)比(％)／平成14年平均,2002,,-0.9,-1.1,-0.8,-0.1,-0.5,-1.2,-3.6,-2.2,-1.2,-0.6,1,-2.2,0.2,
前年(度)比(％)／平成15年平均,2003,,-0.3,-0.3,-0.2,-0.1,-0.6,-0.5,-3,-1.9,3.4,0.1,0.6,-1.5,0.9,
前年(度)比(％)／平成10年度平均,1998,,0.2,0.1,1.1,0.2,-0.5,-2.4,-1.6,0.7,4,-1.7,1.7,-0.6,0.5,
前年(度)比(％)／平成11年度平均,1999,,-0.5,-0.6,-1.2,0.1,-0.4,-1,-1.6,-0.3,-1.1,0.2,1.3,-0.8,0.6,
前年(度)比(％)／平成12年度平均,2000,,-0.5,-0.7,-1.3,0.2,-0.4,1.8,-3.1,-1.4,0,0.1,1.1,-1,-0.4,
前年(度)比(％)／平成13年度平均,2001,,-1,-1.3,-1.4,0.3,-0.5,0.6,-3.6,-2.3,0.2,-1.1,1,-2.9,0,
前年(度)比(％)／平成14年度平均,2002,,-0.6,-0.7,0.1,-0.3,-0.6,-1.9,-3.6,-2.2,-1.1,-0.2,1.1,-1.9,0.2,
前年(度)比(％)／平成15年度平均,2003,,-0.2,-0.2,-0.3,0,-0.5,0.1,-2.9,-1.6,4.4,-0.2,0.4,-1.5,1.2,
月別指数／平成15年10月,2003,10,98.3,97.9,98.4,99.9,98.3,99,89.4,96.3,103.8,98.3,102.8,93.6,101.7,
月別指数／平成15年11月,2003,11,97.8,97.4,97.4,99.9,98.2,99,89.2,96.4,103.7,98.2,102.8,92.2,101.7,
月別指数／平成15年12月,2003,12,97.9,97.5,97.8,99.9,98.2,99,88.8,96.1,103.6,98.2,102.8,92.7,101.7,
月別指数／平成16年1月,2004,1,97.7,97.2,99.1,99.8,98.1,98.8,88.3,89.7,103.5,97.9,102.8,91.4,101.6,
月別指数／平成16年2月,2004,2,97.7,97.2,99.6,99.9,98.1,98.8,87.9,88.1,103.6,97.6,102.8,91.3,101.7,
月別指数／平成16年3月,2004,3,97.9,97.4,99.4,99.9,98,98.8,87.8,91,103.5,97.8,102.8,91.9,101.6,
月別指数／平成16年4月,2004,4,97.9,97.4,98.8,99.9,98,98.6,87.6,94.5,102.7,97.7,103.5,92,101.7,
月別指数／平成16年5月,2004,5,98,97.6,99,99.8,98,98.6,87.4,95.7,102.8,97.9,103.6,92,101.4,
