"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","経度","緯度","分類"
"9","火","桜トースト","牛乳","春キャベツと豚肉のスープ煮;ベーコンポテト;清見オレンジ","牛乳;豚肉;豆腐;ベーコン","食パン;マーガリン;ジャム;砂糖;油;はるさめ;バター;じゃがいも","桜の花塩漬;玉ねぎ;椎茸;人参;筍;キャベツ;清見オレンジ","555","14.5","33.9","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"10","水","ご飯","牛乳","つくね焼き;野菜の磯香和え;味噌汁（大根・わかめ）","牛乳;鶏肉;卵;味噌;のり;だし削り節;わかめ;豆腐","米;パン粉;ごま油;砂糖","筍;椎茸;ねぎ;にんにく;生姜;人参;もやし;ほうれん草;大根;玉ねぎ","592","15.9","26.5","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"11","木","カレーライス（ポーク）","牛乳","チーズ入りイタリアンサラダ;苺","豚肉;牛乳;チーズ","米;大麦;油;じゃがいも;バター;小麦粉","とうがらし;にんにく;生姜;人参;玉ねぎ;りんご;セロリー;トマト缶;キャベツ;きゅうり;ピーマン;いちご","629","12.3","27.8","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"12","金","発芽玄米ご飯","牛乳","いかのザンギ;かぶの三色漬け★;豚汁","牛乳;いか;かつお節;だし煮干;豚肉;豆腐;味噌","米;でん粉;油;こんにゃく;じゃがいも","生姜;にんにく;かぶ;人参;かぶ（葉）;レモン;ごぼう;大根;ねぎ","587","14.1","25.9","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"15","月","春野菜とハムのガーリックパスタ","牛乳","豆と野菜のマリネ１;あけぼのケーキ","ハム;牛乳;大豆;卵","スパゲッティ;油;砂糖;小麦粉;バター","にんにく;とうがらし;かき菜;キャベツ;枝豆（冷凍）;きゅうり;人参;蓮根;ジュース;レーズン","627","15","26.3","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"16","火","コーンピラフ（白）","牛乳","魚のマヨネーズ焼き;カラフルサラダ;かぶと野菜のスープ","牛乳;ホキ;卵;鶏肉","米;バター;油;マヨネーズ;砂糖","コーン缶;玉ねぎ;ほうれん草;マッシュルーム;キャベツ;きゅうり;ピーマン;人参;きくらげ;かぶ;かぶ（葉）","564","14.5","30.8","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"17","水","麦ご飯","牛乳","豆腐のチリソース煮（豆腐120ｇ）;野菜の中華ドレッシングかけ;甘夏みかん（1/6）","牛乳;豆腐;海老;卵","米;大麦;油;砂糖;でん粉;ごま油","にんにく;生姜;筍;椎茸;ねぎ;チンゲンサイ;もやし;人参;甘夏みかん","594","15.5","25.3","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"18","木","わかめご飯","牛乳","卵焼きのあんかけ;春野菜のきんぴら;味噌汁（フリー２）","わかめ;牛乳;鶏肉;卵;だし削り節;味噌","米;大麦;油;砂糖;でん粉;糸こんにゃく;ごま;じゃがいも","人参;椎茸;ねぎ;ほうれん草;蓮根;うど;さやえんどう;大根","599","14.6","25.5","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"19","金","五目あんかけそば","牛乳","カリカリじゃこサラダ②;磯ポテト","豚肉;いか;海老;うずら卵;牛乳;ちりめんじゃこ;青のり","中華めん;油;でん粉;砂糖;ごま;じゃがいも","生姜;にんにく;椎茸;玉ねぎ;人参;筍;キャベツ;チンゲンサイ;もやし;きくらげ;きゅうり","551","16.8","27.8","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"22","月","たけのこご飯","牛乳","ししゃものサクサク揚げ;チンゲンサイのお浸し;すまし汁(栄）","だし鰹節;油揚げ;牛乳;ししゃも;かつお節;だし削り節;豆腐;わかめ","米;小麦粉;でん粉;油;ふ","たけのこ;チンゲンサイ;人参;ねぎ","581","15.6","29.6","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"23","火","黒砂糖パン（うずまき）","牛乳","ポテトグラタン;（鶏肉）;人参サラダ（ツナ缶別だし）;ベーコンスープ","牛乳;鶏肉;生クリーム;チーズ;まぐろ（油漬）;ベーコン","黒砂糖パン;油;バター;小麦粉;じゃがいも;ごま","玉ねぎ;パセリ;人参;レモン;らっきょう;キャベツ","632","14.3","36","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"24","水","ご飯","牛乳","豆腐入りハンバーグ;青菜のごま和え;味噌汁（じゃが芋とわかめ、豆腐なし）","牛乳;豚挽き肉;豆腐;だし削り節;油揚げ;わかめ;味噌","米;油;バター;パン粉;砂糖;ごま;じゃがいも","玉ねぎ;もやし;人参;小松菜","580","14.1","26.7","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
