"全国地方公共団体コード","ID","地方公共団体名","管理番号","建築物の名称","建築物の名称_英字","建築敷地_地名地番","町字ID","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","建築敷地_住居表示住所","建築敷地_用途地域","主要用途","工事種別","高さ_ｍ","高さ_ｍ_最高","階数_地上","階数_地下","構造","基礎工法","敷地面積_m2","延べ面積_m2_計画","延べ面積_m2_計画外","延べ面積_m2_合計","建築面積_m2_計画","建築面積_m2_計画外","建築面積_m2_合計","経度","緯度","分類"
"131148","131148HSLT000001","中野区","31","（仮称）中野区新井１丁目計画","","東京都中野区新井1-7-2他","","","","","","","中野区新井1-11-4","近商・商業","共同住宅","新築","44.73","","14","0","RC","杭基礎","673.35","4216.08","","4216.08","356.98","","356.98","139.665307380247","35.7101516352011","標識設置届_令和3年度"
"131148","131148HSLT000002","中野区","56","（仮称）中野区鷺宮６丁目計画 新築工事","","東京都中野区鷺宮6-798-43他","","","","","","","中野区鷺宮6-28","1低","共同住宅","新築","9.63","","3","0","RC","杭基礎","2830.32","4339.09","","4339.09","1684.07","","1684.07","139.627636854502","35.7267950627084","標識設置届_令和3年度"
"131148","131148HSLT000003","中野区","59","フローレス東中野新築工事","","東京都中野区東中野1-50-2、3","","","","","","","中野区東中野1-36","近商","共同住宅・店舗","新築","30.785","","10","0","RC","杭基礎","285.36","1447.05","","1447.05","232.85","","232.85","139.685761891963","35.7044219806678","標識設置届_令和3年度"
"131148","131148HSLT000004","中野区","75","中野区弥生町２丁目Ⅱ計画","","東京都中野区弥生町2-69-1、8、11、12、13","","","","","","","中野区弥生町2-49","1住・ 近商","共同住宅","新築","44.68","","14","0","RC","杭基礎","1117.12","4930","","4930","420","","420","139.669786494163","35.6903986728046","標識設置届_令和3年度"
"131148","131148HSLT000005","中野区","80","（仮称）中野区本町一丁目計画 建設工事","","東京都中野区本町1-600-1、4","","","","","","","中野区本町1-13","1中","共同住宅","新築","17.82","","6","0","RC","杭基礎","907.98","2645.43","","2645.43","544.2","","544.2","139.685408672243","35.6948806410594","標識設置届_令和3年度"
"131148","131148HSLT000006","中野区","96","(仮称)中野区東中野5丁目計画 新築工事","","東京都中野区東中野5-40-2他5筆","","","","","","","中野区東中野5-17","1中","共同住宅","新築","14.8","","5","0","RC","杭基礎","1311.01","3172.79","","3172.79","864.62","","864.62","139.689211498211","35.7096308628824","標識設置届_令和3年度"
"131148","131148HSLT000007","中野区","97","（仮称）artⅥ建替計画","","東京都中野区中野3 街区番号2 画地番号5(仮換地)","","","","","","","中野区中野3-40","商業","共同住宅・飲食店","新築","30.53","","9","0","RC","杭基礎","249.95","1264.82","","1264.82","159.2","","159.2","139.662825507651","35.7045241795648","標識設置届_令和3年度"
"131148","131148HSLT000008","中野区","99","（仮称）オープンレジデンシア新井１丁目 新築工事","","東京都中野区新井1-51-1、25","","","","","","","中野区新井1-36","近商","共同住宅","新築","21","","7","0","RC","杭基礎","612.22","1984.02","","1984.02","453.31","","453.31","139.667368902237","35.712910933306","標識設置届_令和3年度"
"131148","131148HSLT000009","中野区","103","（仮称）オープンレジデンシア大和町１ 新築工事","","東京都中野区大和町1-51-3他","","","","","","","中野区大和町1-32","1中・ 近商","共同住宅","新築","33","","11","0","RC","杭基礎","755.45","2070","","2070","470","","470","139.650986807427","35.7095626008248","標識設置届_令和3年度"
"131148","131148HSLT000010","中野区","105","（仮称）中野区中野五丁目プロジェクト","","東京都中野区中野5-184-3、4","","","","","","","中野区中野5-24","近商","共同住宅・店舗","新築","33.31","","11","0","RC","杭基礎","496.99","2130.4","","2130.4","289.78","","289.78","139.669272290234","35.7095570971565","標識設置届_令和3年度"
"131148","131148HSLT000011","中野区","108","（仮称）野方４丁目計画 新築工事","","東京都中野区野方4-862-9、12","","","","","","","中野区野方4-20","近商","共同住宅","新築","19.97","","7","0","RC","杭基礎","326.52","1100.16","","1100.16","189.06","","189.06","139.654335427367","35.7202249991992","標識設置届_令和3年度"
