"データセットID","データセットタイトル","データセット説明","タグ","タグ読み","ライセンス","組織","事業説明等のページ","データ所管部署","データセット作成日時","データセット最終更新日時","更新頻度","カテゴリ分類","データタイトル","データURL","データ説明","形式","サイズ","並び順","データ作成日時","データ最終更新日時","GIS用住所","経度","緯度","分類"
"t131148d0000000001","文化財一覧","【中野区】中野区が指定等を行った文化財の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","区民部文化振興・多文化共生推進課","","","必要に応じて","芸術文化","文化財一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_33/CSV/opendata_550120.csv","中野区が指定等を行った文化財の一覧です。","CSV","","0","2019/09/18 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000002","観光施設一覧","【中野区】中野区内の観光施設の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","区民部文化振興・多文化共生推進課","","","必要に応じて","観光","観光施設一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_33/CSV/opendata_550050.csv","中野区内の観光施設の一覧です。","CSV","","0","2019/09/18 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000003","イベント一覧","【中野区】現在中野区ホームページに登録されているイベントの一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","","企画部広聴・広報課","","","随時","その他","イベント一覧","https://www.city.tokyo-nakano.lg.jp/event/rss_news.xml","【中野区】現在中野区ホームページに登録されているイベントの一覧です。","XML","","0","2019/09/18 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000004","消防水利施設一覧","【中野区】中野区の消防水利施設の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部防災危機管理課","","","必要に応じて","防災・災害計画","消防水利施設一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_30/CSV/opendata_550110.csv","中野区の消防水利施設の一覧です。","CSV","","0","2019/09/18 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000005","子育て施設及び入所最低指数一覧","【中野区】中野区の子育て施設の一覧及び入所最低指数です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","子ども教育部教育委員会事務局保育園・幼稚園課","","","1年に1回程度","その他","子育て施設及び入所最低指数一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_36/CSV/opendata_5000777.csv","中野区の子育て施設の一覧及び入所最低指数です。","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000006","オープンデータ一覧","【中野区】中野区が公開しているオープンデータの一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部DX推進室デジタル政策課","","","変更時","その他","オープンデータ一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5001308.csv","中野区が公開しているオープンデータの一覧です。","CSV","","0","2019/09/18 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000007","AED設置箇所一覧","【中野区】中野区のAED設置箇所の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部福祉推進課","","","1年に1回程度","医療・福祉","AED設置箇所一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_38/CSV/opendata_550010.csv","中野区のAED設置箇所の一覧です。","CSV","","0","2019/09/25 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000008","医療機関一覧","【中野区】中野区の医療機関の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部生活衛生課","","","1年に2回程度","医療・福祉","医療機関一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_47/CSV/opendata_550030.csv","中野区の医療機関の一覧です。","CSV","","0","2019/09/25 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000009","公衆トイレ一覧","【中野区】中野区の公衆トイレの一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","都市基盤部公園課","","","３年に１回程度","その他","公衆トイレ一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_50/CSV/opendata_550070.csv","中野区の公衆トイレの一覧です。","CSV","","0","2019/09/25 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000010","平和史跡","【中野区】中野区の平和史跡一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","企画部企画課","","","必要に応じて","観光","平和史跡","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_33/CSV/opendata_5000325.csv","中野区の平和史跡一覧の一覧です。","CSV","","0","2020/02/07 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
