"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","マッチングレベル","経度","緯度","分類"
"10","水","桜トースト","牛乳","じゃが芋のオランダ煮;コーンサラダ;;オレンジゼリー","牛乳;ベーコン;豚肉;チーズ;アガー","食パン;マーガリン;ジャム;砂糖;油;じゃがいも","桜の花塩漬;人参;玉ねぎ;冷凍いんげん;コーン缶;キャベツ;きゅうり;みかん","713","11.8","29.2","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"11","木","たまご炒飯","牛乳","鶏肉のスタミナ焼き;きゅうりの華風炒め;春雨スープ","なると;卵;牛乳;鶏肉","米;大麦;油;砂糖;ごま油;はるさめ","ねぎ;にんにく;きゅうり;人参;きくらげ;もやし;小松菜","771","15.8","29.2","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"12","金","押し麦ご飯","牛乳","いかの変わりソースかけ;茎わかめのきんぴら;味噌汁8","牛乳;いか;わかめ;豚肉;だし煮干;豆腐;味噌","米;大麦;でん粉;小麦粉;油;砂糖;こんにゃく;ごま","玉ねぎ;ごぼう;人参;キャベツ;小松菜","745","13","23.7","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"15","月","ご飯","牛乳","麻婆豆腐;ひじきのナムル;グリーンポテト","牛乳;豚挽き肉;大豆;味噌;豆腐;ひじき","米;油;砂糖;でん粉;ごま油;ごま;じゃがいも","にんにく;生姜;人参;筍;椎茸;ねぎ;もやし;小松菜;パセリ","775","14.9","24","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"16","火","わかめご飯","牛乳","厚焼き卵(3);お浸し（小松菜・にんじん）;味噌汁（フリー）","わかめ;牛乳;鶏肉;卵;かつお節;だし削り節;油揚げ;味噌","米;油;砂糖;でん粉","玉ねぎ;人参;小松菜;大根;えのきたけ","721","14.1","25.8","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"17","水","スパ･ミートソース","牛乳","シーフード入り茹で野菜;あけぼのケーキ","豚挽き肉;チーズ;牛乳;いか;海老;卵","スパゲッティ;油;バター;砂糖;小麦粉","にんにく;玉ねぎ;人参;セロリー;トマト缶;ﾄﾏﾄﾍﾟｰｽﾄ;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;キャベツ;きゅうり;ジュース;レーズン","855","14.1","27.5","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"18","木","ご飯","牛乳","さわら（鰆）の味噌マヨネーズ焼き;野菜のおかか和え２;豆腐と青菜のスープ","牛乳;鰆;味噌;かつお節;だし削り節;豆腐;蒸しかまぼこ;だし昆布","米;マヨネーズ;油","玉ねぎ;しめじ;キャベツ;人参;もやし;ねぎ;生姜;小松菜","793","15.2","31.1","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"19","金","春のベジタブルカレー","牛乳","じゃこ入りビーンズサラダ;苺（1粒）","豚肉;牛乳;ちりめんじゃこ;ひよこまめ","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;人参;玉ねぎ;トマト缶;りんご;セロリー;ｸﾞﾘｰﾝｱｽﾊﾟﾗｶﾞｽ;小松菜;キャベツ;きゅうり;枝豆（冷凍）;いちご","843","12.2","24.1","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"22","月","ご飯","牛乳","小魚の磯辺揚げ;野菜のごま和え;豚汁２","牛乳;ししゃも;青のり;豚肉;だし削り節;豆腐;味噌","米;小麦粉;油;ごま;砂糖;こんにゃく;じゃがいも","ほうれん草;もやし;人参;ごぼう;大根;玉ねぎ;さやいんげん","750","12.7","27.4","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"23","火","コッペパン","牛乳","大豆とミートボールのトマト煮;チーズ入り茹で野菜;清見オレンジ（1/6）","牛乳;大豆;豚挽き肉;高野豆腐;卵;チーズ","コッペパン;パン粉;油;じゃがいも;バター;小麦粉;砂糖","玉ねぎ;生姜;人参;しめじ;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;キャベツ;きゅうり;清見オレンジ","741","15.5","33.6","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"24","水","たけのこご飯","牛乳","魚の照り焼き;野菜の味噌ドレッシングかけ;かきたますまし汁","油揚げ;牛乳;鮭;味噌;だし削り節;卵","米;砂糖;でん粉;油;ごま油","たけのこ;生姜;キャベツ;もやし;きゅうり;人参;ほうれん草","733","17.2","24.2","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"25","木","キャロットライス","牛乳","ローストチキン;グリーンサラダ（きゃピ）;野菜のポタージュ","牛乳;鶏肉","米;大麦;バター;砂糖;油;じゃがいも","人参;にんにく;玉ねぎ;キャベツ;きゅうり;ピーマン;りんご;クリームコーン缶;パセリ","803","13.8","29.3","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"26","金","刻みきつねうどん","牛乳","ツナ入り茹で野菜;よもぎ餅","だし削り節;鶏肉;竹輪;油揚げ;牛乳;まぐろ（油漬）;わかめ;きな粉","うどん;砂糖;油;白玉粉;上新粉","人参;ねぎ;さやいんげん;レモン;もやし;小松菜;よもぎ（ゆで）","817","14.8","24","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"30","火","ご飯","牛乳","キャベツ入りおからメンチ;野菜のからし醤油かけ;田舎汁（じゃが芋）","牛乳;豚挽き肉;おから;卵;だし削り節;味噌","米;パン粉;小麦粉;油;こんにゃく;じゃがいも","玉ねぎ;キャベツ;チンゲンサイ;人参;もやし;ごぼう;大根;ねぎ","847","12.8","27.4","4","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"1","水","ご飯","牛乳","豆腐のカレー煮;②;野菜ナムル;じゃこポテト","牛乳;豚挽き肉;豆腐;うずら卵;ちりめんじゃこ","米;油;砂糖;でん粉;ごま油;ごま;じゃがいも;マヨネーズ","にんにく;生姜;人参;玉ねぎ;椎茸;もやし;きゅうり","842","15.6","28.1","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"2","木","中華風おこわ２","牛乳","かつおの薬味ソースかけ;春雨サラダ;中華コーンスープ","豚挽き肉;中華干し海老;牛乳;鰹;ハム;卵","米;もち米;ごま油;でん粉;油;砂糖;はるさめ;じゃがいも","生姜;筍;人参;ねぎ;椎茸;枝豆（冷凍）;にんにく;大豆もやし;きゅうり;クリームコーン缶;コーン缶;チンゲンサイ","858","17.1","26.3","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"7","火","スパゲッティナポリタン","牛乳","じゃこ入りゆで野菜;ポン・デ・ケージョ","ベーコン;豚肉;チーズ;牛乳;ちりめんじゃこ","スパゲッティ;油;砂糖;じゃがいも;小麦粉;でん粉","人参;玉ねぎ;マッシュルーム;ピーマン;キャベツ;きゅうり;枝豆（冷凍）","786","14.9","24.3","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"8","水","ご飯","牛乳","鯖の文化干し（70g）;チンゲンサイの胡麻風味和え;けんちん汁(醤油）","牛乳;塩さば;だし削り節;油揚げ;豆腐","米;ごま;砂糖;ごま油;じゃがいも","チンゲンサイ;人参;ごぼう;大根;ねぎ","770","15.9","26.4","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"9","木","オムライス","牛乳","人参ラペ;野菜スープ（フリー２）;りんごゼリー（ジュースのみ）","鶏肉;卵;牛乳;まぐろ（油漬）;豚肉;アガー","米;バター;砂糖;ごま;油","トマトジュース;玉ねぎ;しめじ;グリンピース（冷凍）;人参;らっきょう;レモン;キャベツ;小松菜;りんご","756","12.9","24.5","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"10","金","発芽玄米ご飯","牛乳","いかのかりんと揚げ;じゃが芋とさつま揚げの煮物;味噌汁（フリー）","牛乳;いか;さつま揚げ;だし削り節;豆腐;味噌","米;でん粉;油;じゃがいも;砂糖","生姜;玉ねぎ;人参;グリンピース（冷凍）;大根;ねぎ;小松菜","719","13.5","19.9","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"13","月","ご飯","牛乳","四川豆腐;中華サラダ;２;ジューシーフルーツ(1/4)","牛乳;豚挽き肉;豆腐","米;油;砂糖;でん粉;ごま油","生姜;にんにく;人参;筍;椎茸;ザーサイ（漬物）;ねぎ;にら;大根;きゅうり;ジューシーフルーツ","792","14.6","27.6","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"14","火","ぶどうパン","牛乳","魚のオニオンステーキ;豆と野菜のマリネ;じゃが芋のポタージュ","牛乳;鮭;大豆;生クリーム","ぶどうパン;バター;油;砂糖;じゃがいも","生姜;玉ねぎ;枝豆（冷凍）;きゅうり;人参;蓮根;パセリ","723","17.9","28.6","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"15","水","グリンピースご飯","牛乳","鶏肉の胡麻だれかけ;きんぴら煮;味噌汁（フリー）","牛乳;鶏肉;味噌;さつま揚げ;だし削り節;油揚げ","米;油;ごま油;砂糖;ごま;糸こんにゃく","グリンピース;生姜;ねぎ;ごぼう;人参;蓮根;冷凍いんげん;玉ねぎ;キャベツ","770","15","27.4","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"16","木","焼きそばのチリソースかけ","牛乳","ひじきのナムル（ごまなし）;サーターアンダギー","海老;いか;牛乳;ひじき;卵","中華めん;油;でん粉;ごま油;小麦粉;砂糖","生姜;にんにく;ねぎ;人参;筍;椎茸;玉ねぎ;グリンピース（冷凍）;もやし;小松菜","836","12.4","27.9","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"17","金","麦ご飯","牛乳","しゅうまい;わかめサラダ;キムチスープ","牛乳;豚挽き肉;わかめ;豚肉;豆腐;味噌","米;大麦;しゅうまいの皮;でん粉;油;砂糖;じゃがいも","生姜;椎茸;筍;玉ねぎ;きゅうり;もやし;コーン缶;人参;大根;キムチ;ねぎ","788","13.9","23.2","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"20","月","キャロットライス","牛乳","ジャーマンオムレツ;コーンともやしのサラダ;オニオンスープ","牛乳;ウインナー;卵;生クリーム;ベーコン","米;大麦;バター;油;じゃがいも;砂糖","人参;玉ねぎ;パセリ;コーン缶;もやし","754","12.8","27.7","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"21","火","ご飯","牛乳","和風ハンバーグおろしソースがけ;茹で野菜１;味噌汁（フリー②）","牛乳;豚挽き肉;鶏肉;卵;おから;だし削り節;味噌","米;バター;でん粉;油;ごま油;じゃがいも","玉ねぎ;人参;大根;もやし;きゅうり;コーン缶;キャベツ","733","13.8","25.5","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"22","水","黒砂糖コッペパン","牛乳","ポテトグラタン;スティック野菜;ミネストローネ（芋なし）","牛乳;鶏肉;海老;生クリーム;チーズ;ベーコン","黒砂糖パン;油;じゃがいも;小麦粉;バター;マカロニ","玉ねぎ;マッシュルーム;パセリ;大根;きゅうり;人参;にんにく;セロリー;キャベツ;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ","800","13.4","32.4","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"23","木","ご飯・海苔の佃煮","牛乳","小魚のガーリック揚げ;野菜の五目炒め;豚汁","のり;牛乳;わかさぎ;鶏肉;豚肉;豆腐;だし煮干;味噌","米;大麦;砂糖;小麦粉;でん粉;油;はるさめ;こんにゃく;じゃがいも","生姜;にんにく;椎茸;人参;キャベツ;ピーマン;ごぼう;大根;ねぎ","756","13.1","23.7","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"24","金","大豆入りドライカレー","牛乳","シーフード茹で野菜;甘夏みかん","大豆;豚挽き肉;牛乳;いか;海老","米;大麦;バター;油;小麦粉;砂糖","にんにく;生姜;玉ねぎ;人参;セロリー;マッシュルーム;ピーマン;ﾄﾏﾄﾋﾟｭｰﾚｰ;レモン;キャベツ;きゅうり;甘夏みかん","731","13.8","24.4","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"27","月","ご飯","牛乳","豚肉の生姜炒め;磯びたし（キャベツ・小松菜）;にら玉味噌汁","牛乳;豚肉;のり;豆腐;だし煮干;卵;味噌","米;砂糖;油","玉ねぎ;生姜;キャベツ;小松菜;えのきたけ;にら","731","16.3","24.6","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"28","火","じゃこ入りたまごチャーハン","牛乳","揚げ餃子;大豆もやしナムル;わかめスープ;（卵なし）","ちりめんじゃこ;卵;なると;牛乳;豚挽き肉;だし削り節;豆腐;わかめ","米;大麦;油;ぎょうざの皮;ごま油;砂糖","ねぎ;にんにく;生姜;にら;キャベツ;大豆もやし;小松菜;人参","790","13.8","31.9","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"29","水","山菜うどん","牛乳","お茶蒸しパン;ツナサラダ","鶏肉;油揚げ;竹輪;だし削り節;牛乳;卵;まぐろ（油漬）","うどん;小麦粉;砂糖;バター;甘納豆;油","人参;たけのこ;椎茸;ぜんまい;きくらげ;ねぎ;小松菜;キャベツ;きゅうり;レモン;玉ねぎ","783","14.6","25.1","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"30","木","ガーリックトースト","牛乳","ポークビーンズ;コーン入り茹で野菜;ジューシーフルーツ(1/4)","牛乳;大豆;豚肉;海藻サラダ","食パン;マーガリン;油;じゃがいも;バター","にんにく;パセリ;玉ねぎ;人参;セロリー;ﾄﾏﾄﾋﾟｭｰﾚｰ;グリンピース（冷凍）;キャベツ;きゅうり;コーン缶;ジューシーフルーツ","700","14.1","36.8","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"31","金","ご飯","牛乳","鰆の西京焼き;炒り卵入りお浸し;実だくさん汁","牛乳;鰆;味噌;卵;鶏肉;だし削り節;豆腐","米;砂糖;油;じゃがいも","ほうれん草;キャベツ;ごぼう;人参;大根;ねぎ","716","16.9","22.9","5","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"3","月","ご飯","牛乳","生揚げと海老の炒め煮;野菜ナムル;メロン","牛乳;生揚げ;海老","米;油;じゃがいも;砂糖;でん粉;ごま油;ごま","人参;椎茸;筍;キャベツ;冷凍いんげん;もやし;きゅうり;生姜;にんにく;メロン","746","14.7","22.4","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"4","火","ご飯","牛乳","アジフライ;小松菜とえのき茸のお浸し;根菜汁","牛乳;あじ;卵;だし削り節;油揚げ","米;小麦粉;パン粉;油;ごま油;こんにゃく;じゃがいも","小松菜;えのきたけ;ごぼう;人参;大根;ねぎ","772","14","25.4","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"5","水","ミルクパン;コッペ70ｇ","牛乳","スペイン風オムレツ;コールスローサラダ（ノンオイル）;コーンポタージュ","牛乳;ベーコン;卵","ミルクパン;油;バター;じゃがいも;砂糖;小麦粉","にんにく;玉ねぎ;トマト;ピーマン;キャベツ;人参;りんご;クリームコーン缶;コーン缶;パセリ","753","15.2","33","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"6","木","ご飯","牛乳","つくねハンバーグおろしソース;野菜のごま和え;味噌汁（フリー）","牛乳;鶏肉;豆腐;卵;味噌;だし削り節;油揚げ","米;砂糖;でん粉;ごま","ねぎ;生姜;大根;ほうれん草;もやし;人参;玉ねぎ","727","15.2","25","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"7","金","ターメリックライス","牛乳","豆腐入りドライカレー;じゃこ入りカラフルサラダ;甘夏みかん","牛乳;豚挽き肉;豆腐;ちりめんじゃこ","米;大麦;バター;油;小麦粉;砂糖","生姜;にんにく;玉ねぎ;人参;ピーマン;ﾄﾏﾄﾋﾟｭｰﾚｰ;キャベツ;きゅうり;甘夏みかん","768","12.8","25.9","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"10","月","新生姜ご飯","牛乳","魚の味噌ソースかけ;磯浸し（青菜）;具だくさん汁","だし昆布;牛乳;さば;味噌;のり;だし削り節;豚肉","米;大麦;砂糖;でん粉;ごま;こんにゃく;じゃがいも","生姜;ほうれん草;キャベツ;人参;大根;しめじ;ねぎ","742","14.6","22.2","6","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
