町村別,工事種別,2015年度,2016年度,2017年度
大島町,新築,5,3,2
大島町,増改築,1,0,4
大島町,その他,2,5,0
大島町,小計,8,8,6
利島村,新築,0,0,0
利島村,増改築,0,0,0
利島村,その他,0,0,0
利島村,小計,0,0,0
新島村,新築,4,7,16
新島村,増改築,2,0,3
新島村,その他,1,4,1
新島村,小計,7,11,20
神津島村,新築,3,3,6
神津島村,増改築,0,0,0
神津島村,その他,0,5,1
神津島村,小計,3,8,7
合計,,18,27,33
