区分町村,路線名（整理番号）,区間,現道／延長（ｍ）,平現道／均総幅員（ｍ）,現道／面積（ｍ2）,規格改良延長（ｍ）,規格改良率（％）,歩道設置延長（ｍ）,歩道設置率（％）,舗装率（％）,摘要
大島町,大島公園線（都道207号）,自 大島町元町／至 大島町元町港,13738,8.3,114732,11506,83.75309361,2175,15.83199884,100,
大島町,大島循環線（都道208号）,自 大島町元町地の岡_大島公園線交点／至 大島町元町_大島公園線交点,43293,9.7,418760,43293,100,12514,28.90536576,100,
大島町,川の道岡田港線（都道209号）,自 大島町岡田川の道_大島循環線交点／至 大島町岡田港,1773,14.1,25101,1773,100,1396,78.73660462,100,
大島町,下地波浮港線（都道210号）,自 大島町差木地下地_大島循環線交点／至 大島町波浮港,1522,7.9,12040,1522,100,715,46.97766097,100,
大島町,計,,60326,,570633,58094,96.30010277,16800,27.84868879,100,
利島村,利島環状線（都道228号）,自 利島村利島港／至 利島村字郷,8803,6.7,58934,8803,100,0,0,100,
新島村,若郷新島港線（都道211号）,自 新島村若郷／至 新島村新島港,11778,11.4,133897,11778,100,3306,28.06928171,100,
新島村,式根島循環線（都道237号）,自 新島村／至 式根島字野伏同所,4630,7.2,33464,4630,100,50,1.079913607,100,
新島村,計,,16408,,167361,16408,100,3356,20.45343735,100,
神津島村,神戸山多幸線（都道224号）,自 神津島村長浜／至 神津島村多幸,10073,10.7,108252,10073,100,1718,17.05549489,100,
合計,,,95610,,905180,93378,97.66551616,21874,22.87836,100,
