頭／年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
大島,64,52,13,6,6,6,10,10,,,,,,,,,,,,,
新島,10,19,39,13,14,17,23,44,56,52,48,49,29,24,9,0,0,0,0,0,0
