地区別／事業別,道路橋梁事業／面積（m2）,道路橋梁事業／金額（千円）,交通安全事業／面積（m2）,交通安全事業／金額（千円）,砂防事業／面積（m2）,砂防事業／金額（千円）,計／面積（m2）,計／金額（千円）
大島町,0,0,67.14,20659,63623.68,375998,63690.82,396657
利島村,-,-,-,-,-,-,-,-
新島村,-,-,-,-,-,-,-,-
神津島村,110.24,2886,619.4,4831,2097.81,59578,2827.451,67295
計,110.24,2886,686.54,25490,65921.49,435596,66518.27,463.952
