漁獲量の推移,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
魚類（トン）,1261,1230,897,836,952,919,989,957,952,971
水産動物・貝類（トン）,121,168,169,134,144,156,125,71,104,86
藻類（トン）,387,216,447,327,378,289,202,162,187,154
