区分,羽数
オオコノハズク,4
チョウゲンボウ,2
キンクロハジロ,1
オオセグロカモメ,1
コジュケイ,2
トラツグミ,1
アオバト,1
ハヤブサ,2
オオバン,1
オナガガモ,1
フクロウ,3
ヒヨドリ,1
ハイタカ,1
マガモ,1
キジバト,1
トビ,2
ツミ,1
ノスリ,3
メジロ,2
計,31
